Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
El Malpais NM,"162,755","$10,747 ",153,"$4,504 ","$7,724 ","$14,402 ",2022
El Morro NM,"60,501","$4,319 ",56,"$1,307 ","$2,375 ","$4,672 ",2022
Eleanor Roosevelt NHS,"19,076","$1,260 ",15,$686 ,"$1,106 ","$1,766 ",2022
Eugene O'Neill NHS,"18,754","$1,238 ",13,$734 ,"$1,129 ","$1,736 ",2022
Everglades NP,"1,155,193","$124,649 ","1,730","$66,665 ","$114,028 ","$192,518 ",2022
Federal Hall NMEM c,"40,229","$2,656 ",29,"$1,583 ","$2,572 ","$3,896 ",2022
Fire Island NS,"393,749","$19,610 ",193,"$10,736 ","$17,459 ","$26,340 ",2022
First Ladies NHS,"7,146",$472 ,7,$261 ,$411 ,$726 ,2022
Flight 93 NMEM,"346,559","$22,884 ",328,"$12,243 ","$19,030 ","$33,631 ",2022
Florissant Fossil Beds NM,"67,174","$4,436 ",58,"$2,407 ","$3,963 ","$6,698 ",2022
Ford's Theatre NHS,"319,596","$6,810 ",85,"$3,938 ","$6,516 ","$10,439 ",2022
"Fort Bowie NHS a,b","7,913",$334 ,4,$122 ,$205 ,$357 ,2022
Fort Caroline NMEM,"329,363","$21,748 ",312,"$10,556 ","$17,924 ","$31,761 ",2022
Fort Davis NHS,"45,401","$2,998 ",38,"$1,134 ","$1,752 ","$3,222 ",2022
Fort Donelson NB,"183,638","$13,365 ",158,"$6,641 ","$10,806 ","$17,895 ",2022
Fort Frederica NM,"245,214","$16,192 ",226,"$7,673 ","$12,808 ","$22,534 ",2022
"Fort Laramie NHS a,b","39,657","$1,221 ",15,$397 ,$657 ,"$1,293 ",2022
Fort Larned NHS a,"26,219","$1,811 ",24,$575 ,"$1,053 ","$2,040 ",2022
Fort Matanzas NM,"698,895","$46,149 ",663,"$21,601 ","$36,934 ","$66,187 ",2022
Fort McHenry NM&SHRINE,"223,957","$14,789 ",185,"$8,344 ","$13,600 ","$21,943 ",2022
Fort Necessity NB,"258,293","$17,051 ",247,"$9,334 ","$14,601 ","$25,797 ",2022
Fort Point NHS,"955,454","$63,090 ",672,"$37,404 ","$57,518 ","$88,442 ",2022
Fort Pulaski NM,"471,077","$34,286 ",429,"$14,424 ","$25,130 ","$43,314 ",2022
Fort Raleigh NHS,"287,650","$18,994 ",276,"$8,026 ","$13,578 ","$25,459 ",2022
Fort Scott NHS a,"26,854",$550 ,7,$169 ,$284 ,$575 ,2022
Fort Smith NHS,"123,229","$8,137 ",119,"$3,210 ","$5,561 ","$10,683 ",2022
Fort Stanwix NM a,"71,716","$4,487 ",50,"$1,888 ","$3,434 ","$5,649 ",2022
Fort Sumter NM,"385,472","$25,453 ",330,"$11,050 ","$19,165 ","$33,177 ",2022
Fort Union NM a,"7,557",$583 ,7,$219 ,$372 ,$668 ,2022
Fort Union Trading Post NHS a,"12,822","$1,178 ",12,$407 ,$643 ,"$1,122 ",2022
Fort Vancouver NHS,"964,318","$63,675 ",873,"$35,703 ","$56,969 ","$97,441 ",2022
Fort Washington P,"406,917","$26,869 ",325,"$15,096 ","$24,704 ","$39,380 ",2022
Fossil Butte NM a,"17,879","$1,011 ",12,$375 ,$627 ,"$1,126 ",2022
Franklin Delano Roosevelt MEM,"3,291,313","$70,137 ",877,"$40,553 ","$67,111 ","$107,508 ",2022
Frederick Douglass NHS c,211,$4 ,0,$2 ,$4 ,$7 ,2022
Frederick Law Olmsted NHS,"14,148",$935 ,12,$563 ,$878 ,"$1,423 ",2022
Fredericksburg & Spotsylvania NMP,"756,296","$49,939 ",617,"$27,335 ","$44,590 ","$72,073 ",2022
Friendship Hill NHS,"16,395","$1,083 ",16,$589 ,$922 ,"$1,627 ",2022
Gates Of The Arctic NP&PRES c,"9,457","$15,611 ",219,"$8,544 ","$13,634 ","$23,361 ",2022
"Gateway Arch NP a,b","1,618,774","$112,076 ","1,781","$71,532 ","$114,178 ","$196,236 ",2022
Gateway NRA a,"8,728,291","$259,269 ","2,852","$114,094 ","$191,737 ","$314,550 ",2022
Gauley River NRA,"163,510","$8,112 ",104,"$3,077 ","$5,123 ","$9,444 ",2022
"General Grant NMEM a,b","132,542","$5,689 ",63,"$3,492 ","$5,671 ","$8,244 ",2022
George Rogers Clark NHP,"123,229","$8,137 ",113,"$3,227 ","$5,656 ","$10,457 ",2022
George Washington Birthplace NM a,"96,234","$4,976 ",59,"$2,661 ","$4,325 ","$6,927 ",2022
George Washington Carver NM a,"29,725",$630 ,8,$242 ,$397 ,$762 ,2022
George Washington MEM PKWY,"7,397,120","$54,544 ",831,"$32,384 ","$50,763 ","$87,497 ",2022
Gettysburg NMP,"764,576","$55,648 ",668,"$30,795 ","$49,806 ","$80,017 ",2022
Gila Cliff Dwellings NM,"43,608","$2,880 ",37,$919 ,"$1,602 ","$3,066 ",2022
Glacier Bay NP&PRES a,"545,758","$223,677 ","2,824","$126,214 ","$196,012 ","$382,678 ",2022
Glacier NP a,"2,908,458","$367,589 ","5,691","$184,793 ","$284,541 ","$548,417 ",2022
Glen Canyon NRA a,"2,842,776","$300,543 ","3,486","$126,398 ","$213,280 ","$372,677 ",2022
Golden Gate NRA a,"15,638,911","$1,095,491 ","10,432","$698,994 ","$1,060,746 ","$1,524,345 ",2022
Golden Spike NHS a,"49,042","$3,169 ",43,"$1,475 ","$2,522 ","$4,536 ",2022
Governors Island NM,"44,345","$2,928 ",32,"$1,746 ","$2,836 ","$4,295 ",2022
Grand Canyon NP a,"4,732,101","$758,899 ","9,991","$346,332 ","$576,355 ","$1,010,477 ",2022
Grand Portage NM,"93,108","$6,775 ",87,"$2,136 ","$3,791 ","$7,229 ",2022
"Grand Teton NP a,b","2,806,223","$597,470 ","7,608","$267,468 ","$438,271 ","$757,041 ",2022
Grant-Kohrs Ranch NHS,"24,351","$1,608 ",25,$779 ,"$1,147 ","$2,255 ",2022
Great Basin NP,"142,115","$9,151 ",122,"$2,644 ","$4,847 ","$9,668 ",2022
"Great Sand Dunes NP&PRES a,b","493,428","$32,538 ",408,"$10,668 ","$18,659 ","$35,980 ",2022
"Great Smoky Mountains NP a,b","12,937,633","$2,110,462 ","32,590","$1,218,335 ","$1,922,997 ","$3,262,390 ",2022
Greenbelt P c,"60,800","$4,365 ",52,"$2,417 ","$3,976 ","$6,326 ",2022
"Guadalupe Mountains NP a,b","219,987","$26,288 ",311,"$10,671 ","$17,784 ","$31,165 ",2022
Guilford Courthouse NMP,"389,057","$25,690 ",374,"$12,732 ","$20,945 ","$37,627 ",2022
Gulf Islands NS,"5,685,155","$282,833 ","3,655","$122,262 ","$203,785 ","$367,005 ",2022
Hagerman Fossil Beds NM,"25,122","$1,659 ",23,$766 ,"$1,269 ","$2,316 ",2022
Haleakala NP,"1,087,616","$78,419 ",764,"$34,951 ","$64,475 ","$98,412 ",2022
Hamilton Grange NMEM,"45,198","$2,985 ",32,"$1,773 ","$2,884 ","$4,363 ",2022
Hampton NHS,"12,506",$826 ,10,$471 ,$763 ,"$1,233 ",2022
Harpers Ferry NHP a,"407,008","$22,339 ",302,"$13,616 ","$21,971 ","$35,369 ",2022
Harry S Truman NHS,"21,471","$1,417 ",21,$757 ,"$1,246 ","$2,241 ",2022
Hawaii Volcanoes NP,"1,580,961","$148,615 ","1,534","$69,074 ","$128,524 ","$195,158 ",2022
Herbert Hoover NHS,"103,804","$6,855 ",101,"$2,940 ","$4,878 ","$9,144 ",2022
Home Of Franklin D Roosevelt NHS,"100,665","$6,648 ",78,"$3,670 ","$5,891 ","$9,409 ",2022
Homestead NM a,"47,614","$1,802 ",24,$655 ,"$1,101 ","$2,097 ",2022
Hopewell Culture NHP,"51,850","$3,424 ",50,"$1,836 ","$2,941 ","$5,216 ",2022
Hopewell Furnace NHS,"57,238","$3,780 ",53,"$2,288 ","$3,564 ","$5,991 ",2022
Horseshoe Bend NMP,"67,773","$4,475 ",68,"$1,993 ","$3,265 ","$6,203 ",2022
Hot Springs NP,"2,646,133","$191,724 ","2,713","$75,533 ","$137,087 ","$257,732 ",2022
Hovenweep NM,"28,446","$2,028 ",26,$761 ,"$1,341 ","$2,482 ",2022
Hubbell Trading Post NHS,"50,017","$3,302 ",45,"$1,164 ","$2,029 ","$3,914 ",2022
Independence NHP,"2,688,302","$177,513 ","2,442","$108,821 ","$168,972 ","$281,598 ",2022
Indiana Dunes NL,"2,834,180","$141,327 ","1,685","$80,203 ","$127,743 ","$208,509 ",2022
"Isle Royale NP a,b,c","25,454","$10,368 ",120,"$3,314 ","$5,809 ","$12,738 ",2022
James A Garfield NHS a,"32,173","$1,305 ",19,$723 ,"$1,126 ","$2,019 ",2022
Jean Lafitte NP&PRES,"269,748","$17,812 ",247,"$8,053 ","$13,635 ","$24,420 ",2022
Jewel Cave NM,"119,343","$7,880 ",109,"$3,205 ","$5,556 ","$10,389 ",2022
Jimmy Carter NHS,"35,308","$2,331 ",36,$887 ,"$1,516 ","$2,985 ",2022
John D Rockefeller Jr MEM PKWY,"1,091,196","$8,964 ",110,"$4,146 ","$6,344 ","$10,688 ",2022
John Day Fossil Beds NM a,"165,201","$9,093 ",110,"$3,896 ","$6,208 ","$11,167 ",2022
John F Kennedy NHS c,100,$7 ,0,$4 ,$6 ,$10 ,2022
John Muir NHS,"38,878","$2,567 ",27,"$1,522 ","$2,341 ","$3,601 ",2022
Johnstown Flood NMEM a,"148,142","$10,354 ",156,"$5,727 ","$8,877 ","$15,872 ",2022
Joshua Tree NP a,"3,058,294","$171,013 ","2,037","$77,112 ","$124,692 ","$209,054 ",2022
Kalaupapa NHP,"38,771","$2,560 ",26,"$1,191 ","$2,138 ","$3,300 ",2022
Kaloko-Honokohau NHP,"291,342","$19,238 ",198,"$8,947 ","$16,069 ","$24,797 ",2022
Katahdin Woods and Waters NM,"43,231","$3,097 ",41,"$1,253 ","$2,168 ","$3,960 ",2022
Katmai NP&PRES c,"33,908","$55,973 ",785,"$30,636 ","$48,885 ","$83,763 ",2022
Kenai Fjords NP,"389,943","$76,465 ","1,320","$47,578 ","$64,499 ","$116,680 ",2022
Kennesaw Mountain NBP,"1,322,003","$87,294 ","1,272","$47,611 ","$79,553 ","$137,541 ",2022
Keweenaw NHP,"15,255","$1,007 ",14,$311 ,$566 ,"$1,123 ",2022
Kings Canyon NP,"640,986","$60,732 ",776,"$28,920 ","$46,097 ","$78,599 ",2022
Kings Mountain NMP a,"238,656","$10,809 ",149,"$5,432 ","$8,892 ","$15,573 ",2022
"Klondike Gold Rush AK NHP a,c","342,909","$57,411 ",869,"$36,633 ","$45,467 ","$74,813 ",2022
Klondike Gold Rush WA NHP,"60,423","$3,990 ",42,"$2,023 ","$3,539 ","$5,490 ",2022
Knife River Indian Villages NHS,"9,217",$609 ,8,$252 ,$418 ,$787 ,2022
Kobuk Valley NP,"16,925","$27,939 ",392,"$15,292 ","$24,401 ","$41,810 ",2022
"Korean War Veterans MEM a,b","4,010,009","$112,205 ","1,499","$71,363 ","$114,558 ","$174,570 ",2022
Lake Chelan NRA,"38,207","$3,047 ",30,"$1,524 ","$2,691 ","$4,074 ",2022
Lake Clark NP&PRES c,"18,187","$30,024 ",421,"$16,433 ","$26,222 ","$44,930 ",2022
Lake Mead NRA,"5,578,226","$279,845 ","3,021","$125,518 ","$210,505 ","$342,944 ",2022
"Lake Meredith NRA a,b","1,276,717","$31,286 ",240,"$7,623 ","$11,772 ","$22,364 ",2022
Lake Roosevelt NRA,"1,128,725","$56,623 ",649,"$23,024 ","$41,238 ","$70,394 ",2022
Lassen Volcanic NP,"446,291","$30,014 ",371,"$12,738 ","$20,341 ","$35,786 ",2022
Lava Beds NM a,"130,969","$6,448 ",74,"$2,597 ","$4,032 ","$7,208 ",2022
Lewis and Clark NHP,"279,924","$18,484 ",242,"$9,970 ","$16,273 ","$27,315 ",2022
Lincoln Boyhood NMEM a,"105,819","$5,649 ",87,"$2,861 ","$4,496 ","$8,210 ",2022
Lincoln Home NHS a,"145,144","$9,926 ",138,"$4,152 ","$7,250 ","$13,211 ",2022
Lincoln MEM,"7,825,397","$166,756 ","2,086","$96,417 ","$159,561 ","$255,608 ",2022
Little Bighorn Battlefield NM,"168,433","$11,121 ",163,"$5,046 ","$7,602 ","$14,679 ",2022
Little River Canyon NPRES,"726,239","$47,955 ",707,"$21,358 ","$35,365 ","$65,582 ",2022
Little Rock Central High School NHS,"92,108","$6,082 ",90,"$2,521 ","$4,482 ","$8,449 ",2022
Longfellow NHS,"60,558","$3,998 ",50,"$2,415 ","$3,765 ","$6,094 ",2022
Lowell NHP,"209,284","$13,819 ",173,"$8,330 ","$13,001 ","$21,041 ",2022
Lyndon B Johnson NHP,"87,386","$5,770 ",85,"$3,075 ","$4,809 ","$8,718 ",2022
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,"242,325","$16,000 ",197,"$9,045 ","$14,780 ","$23,697 ",2022
Maggie L Walker NHS,"4,815",$318 ,5,$151 ,$253 ,$454 ,2022
Mammoth Cave NP,"663,147","$62,024 ",828,"$32,923 ","$52,970 ","$89,639 ",2022
Manassas NBP,"532,727","$35,177 ",428,"$19,763 ","$32,323 ","$51,676 ",2022
Manhattan Project (New Mexico) NHP,"9,616",$635 ,8,$266 ,$439 ,$767 ,2022
Manhattan Project (Tennessee) NHP,"10,546",$227 ,3,$98 ,$152 ,$278 ,2022
Manhattan Project (Washington) NHP c,"7,103",$264 ,3,$103 ,$184 ,$303 ,2022
Manzanar NHS a,"116,843","$13,903 ",164,"$6,247 ","$10,048 ","$17,296 ",2022
Marsh - Billings - Rockefeller NHP,"63,956","$4,223 ",53,"$1,980 ","$3,364 ","$5,675 ",2022
Martin Luther King Jr NHS c,"242,789","$16,032 ",233,"$8,771 ","$14,660 ","$25,307 ",2022
"Martin Luther King, Jr. MEM","3,321,897","$70,789 ",885,"$40,929 ","$67,734 ","$108,507 ",2022
"Martin Van Buren NHS a,b","11,702",$553 ,7,$281 ,$462 ,$742 ,2022
Mary McLeod Bethune Council House NHS c,"1,995",$43 ,1,$25 ,$41 ,$65 ,2022
Medgar and Myrlie Evers Home NM,"11,231",$741 ,11,$325 ,$554 ,"$1,049 ",2022
Mesa Verde NP a,"499,790","$58,031 ",762,"$22,652 ","$40,039 ","$73,794 ",2022
Minidoka (Idaho) NHS,"4,971",$98 ,1,$32 ,$51 ,$106 ,2022
Minidoka (Washington) NHS,"8,746",$577 ,7,$217 ,$403 ,$670 ,2022
Minute Man NHP,"960,343","$63,413 ",796,"$38,249 ","$59,719 ","$96,768 ",2022
Minuteman Missile NHS a,"105,776","$8,924 ",120,"$3,608 ","$6,272 ","$11,581 ",2022
Mississippi NRRA,"303,882","$15,173 ",200,"$7,749 ","$12,593 ","$22,101 ",2022
Missouri NRR,"133,162","$6,650 ",86,"$2,690 ","$4,392 ","$8,103 ",2022
Mojave NPRES,"773,463","$51,030 ",598,"$24,787 ","$41,082 ","$66,827 ",2022
Monocacy NB a,"127,111","$4,865 ",61,"$2,088 ","$3,610 ","$6,164 ",2022
Montezuma Castle NM,"364,014","$24,037 ",327,"$12,869 ","$21,407 ","$36,711 ",2022
Moores Creek NB,"53,681","$3,904 ",52,"$1,484 ","$2,640 ","$4,846 ",2022
"Morristown NHP a,b","245,231","$5,298 ",47,"$2,721 ","$4,381 ","$6,387 ",2022
Mount Rainier NP a,"1,622,395","$67,234 ",687,"$32,128 ","$56,333 ","$87,612 ",2022
"Mount Rushmore NMEM a,b","2,440,449","$385,563 ","5,694","$185,853 ","$311,230 ","$551,293 ",2022
Muir Woods NM a,"798,625","$98,253 ",910,"$62,655 ","$96,686 ","$138,003 ",2022
Natchez NHP,"64,691","$4,272 ",59,"$1,746 ","$2,971 ","$5,484 ",2022
"Natchez Trace PKWY a,b","6,543,533","$474,052 ","5,659","$243,050 ","$392,405 ","$640,352 ",2022
"National Capital Parks Central a,b","920,643","$88,584 ","1,186","$56,351 ","$90,394 ","$137,836 ",2022
National Capital Parks East,"1,267,873","$27,017 ",348,"$15,639 ","$25,929 ","$41,979 ",2022
National Park of American Samoa c,"1,887",$125 ,1,$58 ,$104 ,$161 ,2022
Natural Bridges NM,"71,249","$5,028 ",58,"$1,955 ","$3,296 ","$5,797 ",2022
Navajo NM,"41,118","$2,899 ",34,"$1,125 ","$1,889 ","$3,324 ",2022
New Bedford Whaling NHP a,"13,570",$810 ,11,$520 ,$801 ,"$1,297 ",2022
New Orleans Jazz NHP,"37,410","$2,470 ",34,"$1,163 ","$1,958 ","$3,470 ",2022
New River Gorge NR,"1,593,523","$79,328 ","1,044","$30,951 ","$51,655 ","$96,080 ",2022
Nez Perce NHP,"344,517","$22,749 ",288,"$9,657 ","$17,138 ","$29,683 ",2022
Nicodemus NHS a,"5,307",$333 ,4,$96 ,$178 ,$328 ,2022
Ninety Six NHS,"108,082","$7,137 ",101,"$3,073 ","$5,334 ","$9,649 ",2022
"Niobrara NSR a,b","80,071","$8,021 ",111,"$2,826 ","$4,611 ","$9,378 ",2022
Noatak NPRES,"18,393","$30,365 ",426,"$16,619 ","$26,519 ","$45,440 ",2022
North Cascades NP c,"30,154","$1,639 ",15,$758 ,"$1,293 ","$1,955 ",2022
Obed W&SR a,"306,502","$6,462 ",68,"$2,314 ","$3,664 ","$6,723 ",2022
Ocmulgee NM,"155,242","$10,252 ",155,"$3,837 ","$6,659 ","$12,964 ",2022
Olympic NP,"2,432,972","$227,620 ","2,453","$117,022 ","$208,138 ","$320,238 ",2022
Oregon Caves NM,"72,923","$6,763 ",93,"$3,296 ","$5,111 ","$9,112 ",2022
Organ Pipe Cactus NM,"133,317","$8,630 ",112,"$4,434 ","$7,430 ","$12,712 ",2022
