Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Governors Island NM,"625,652","$35,770.70 ",422,"$20,182.70 ","$32,645.80 ","$48,914.20 ",2017
Grand Canyon NP*,"6,254,238","$666,912.80 ","9,423","$329,315.30 ","$581,624.30 ","$938,010.80 ",2017
Grand Portage NM,"96,051","$6,048.70 ",80,"$1,658.70 ","$3,204.70 ","$5,889.40 ",2017
Grand Teton NP*,"3,316,999","$589,903.90 ","8,694","$259,807.10 ","$421,551.80 ","$744,286.50 ",2017
Grant-Kohrs Ranch NHS,"24,072","$1,376.30 ",22,$633.00 ,$964.80 ,"$1,798.00 ",2017
Great Basin NP,"168,027","$9,694.10 ",137,"$3,038.00 ","$5,263.20 ","$10,039.20 ",2017
Great Sand Dunes NP&PRES,"486,935","$29,582.60 ",408,"$11,243.80 ","$19,328.30 ","$34,602.20 ",2017
Great Smoky Mountains NP,"11,338,893","$922,947.10 ","13,942","$405,780.50 ","$695,842.30 ","$1,237,735.00 ",2017
Greenbelt P,"141,856","$8,528.10 ",106,"$4,281.50 ","$7,209.70 ","$11,386.80 ",2017
Guadalupe Mountains NP,"225,257","$13,646.20 ",197,"$4,880.60 ","$8,712.30 ","$16,090.40 ",2017
Guilford Courthouse NMP,"348,991","$19,953.00 ",320,"$9,360.70 ","$15,654.00 ","$27,547.30 ",2017
Gulf Islands NS,"3,952,940","$167,978.90 ","2,351","$69,222.20 ","$118,595.40 ","$205,405.30 ",2017
Hagerman Fossil Beds NM,"31,123","$1,779.40 ",27,$818.10 ,"$1,319.80 ","$2,405.80 ",2017
Haleakala NP,"1,112,390","$69,751.10 ",819,"$32,188.80 ","$56,282.00 ","$89,290.30 ",2017
Hamilton Grange NMEM,"85,602","$4,894.20 ",57,"$2,753.70 ","$4,460.00 ","$6,679.20 ",2017
Hampton NHS,"32,328","$1,848.30 ",25,$976.60 ,"$1,624.60 ","$2,581.60 ",2017
Harpers Ferry NHP*,"342,535","$16,514.70 ",239,"$9,184.00 ","$15,156.00 ","$24,198.60 ",2017
Harry S Truman NHS,"45,436","$2,597.70 ",44,"$1,321.10 ","$2,230.90 ","$3,934.30 ",2017
Hawaii Volcanoes NP,"2,016,702","$166,177.30 ","2,020","$78,840.60 ","$140,441.10 ","$222,394.90 ",2017
Herbert Hoover NHS,"144,619","$8,268.40 ",127,"$3,409.60 ","$5,847.50 ","$10,489.10 ",2017
Home Of Franklin D Roosevelt NHS,"185,744","$10,619.70 ",133,"$5,409.20 ","$9,035.00 ","$14,012.10 ",2017
Homestead NM*,"123,400","$3,984.30 ",59,"$1,389.30 ","$2,347.50 ","$4,387.00 ",2017
Hopewell Culture NHP,"62,413","$3,568.40 ",56,"$1,746.30 ","$2,924.70 ","$5,072.50 ",2017
Hopewell Furnace NHS,"49,306","$2,819.00 ",43,"$1,547.40 ","$2,516.70 ","$4,134.90 ",2017
Horseshoe Bend NMP,"74,255","$4,245.40 ",66,"$1,861.40 ","$3,161.30 ","$5,655.00 ",2017
Hot Springs NP,"1,561,615","$97,854.30 ","1,494","$37,994.10 ","$70,417.10 ","$127,057.80 ",2017
Hovenweep NM,"39,969","$2,459.30 ",35,$917.20 ,"$1,608.20 ","$2,912.50 ",2017
Hubbell Trading Post NHS,"45,800","$2,618.50 ",43,$877.60 ,"$1,548.60 ","$3,031.00 ",2017
Independence NHP,"4,790,758","$273,904.60 ","3,926","$152,467.70 ","$248,008.90 ","$399,492.20 ",2017
Indiana Dunes NL,"2,158,471","$92,046.00 ","1,183","$45,690.60 ","$77,894.60 ","$124,216.90 ",2017
Isle Royale NP,"28,196","$6,156.90 ",97,"$1,968.20 ","$3,580.30 ","$7,124.60 ",2017
James A Garfield NHS*,"53,535","$1,871.50 ",31,$914.50 ,"$1,533.90 ","$2,717.80 ",2017
Jean Lafitte NP&PRES,"456,667","$26,109.30 ",391,"$11,558.30 ","$19,752.10 ","$33,986.70 ",2017
Jefferson NEM*,"1,398,188","$135,944.10 ","2,340","$70,880.60 ","$119,724.60 ","$211,521.20 ",2017
Jewel Cave NM,"144,537","$8,263.60 ",125,"$3,270.10 ","$5,572.70 ","$10,362.90 ",2017
Jimmy Carter NHS,"60,736","$3,472.50 ",57,"$1,318.70 ","$2,247.10 ","$4,271.80 ",2017
John D Rockefeller Jr MEM PKWY!,"1,433,292","$7,932.20 ",136,"$2,938.60 ","$4,729.80 ","$8,768.20 ",2017
John Day Fossil Beds NM*,"214,558","$9,998.80 ",150,"$3,960.70 ","$6,306.60 ","$11,646.50 ",2017
John F Kennedy NHS,"30,400","$1,738.10 ",23,$947.80 ,"$1,544.10 ","$2,464.20 ",2017
John Muir NHS,"46,876","$2,680.10 ",34,"$1,485.00 ","$2,346.00 ","$3,699.80 ",2017
Johnstown Flood NMEM*,"171,376","$10,336.40 ",168,"$5,212.40 ","$8,456.60 ","$14,705.70 ",2017
Joshua Tree NP*,"2,853,619","$137,625.40 ","1,789","$67,602.70 ","$112,140.80 ","$182,717.50 ",2017
Kalaupapa NHP,"76,513","$4,374.50 ",54,"$2,095.30 ","$3,572.20 ","$5,708.90 ",2017
Kaloko-Honokohau NHP,"196,856","$11,254.90 ",140,"$5,390.90 ","$9,190.60 ","$14,688.10 ",2017
Katmai NP&PRES,"37,818","$58,068.20 ",756,"$26,879.70 ","$50,974.00 ","$84,646.60 ",2017
Kenai Fjords NP,"303,598","$53,511.20 ","1,046","$28,170.70 ","$43,720.00 ","$78,907.30 ",2017
Kennesaw Mountain NBP,"2,593,725","$148,292.40 ","2,315","$78,380.00 ","$131,822.10 ","$223,176.30 ",2017
Keweenaw NHP,"16,480",$942.20 ,14,$245.70 ,$491.70 ,$984.00 ,2017
Kings Canyon NP,"692,932","$58,740.90 ",863,"$25,590.50 ","$41,579.50 ","$73,561.50 ",2017
Kings Mountain NMP*,"291,842","$11,427.90 ",175,"$5,404.80 ","$9,020.70 ","$15,590.50 ",2017
Klondike Gold Rush AK NHP,"906,485","$161,419.10 ","3,141","$84,869.10 ","$132,031.40 ","$238,027.00 ",2017
Klondike Gold Rush WA NHP,"84,760","$4,846.10 ",64,"$2,208.90 ","$4,031.80 ","$6,463.20 ",2017
Knife River Indian Villages NHS,"11,645",$665.80 ,8,$291.90 ,$470.20 ,$846.80 ,2017
Kobuk Valley NP,"15,500","$23,799.90 ",310,"$11,016.90 ","$20,892.30 ","$34,693.40 ",2017
Korean War Veterans MEM,"4,155,946","$76,947.00 ","1,024","$40,554.00 ","$68,878.00 ","$109,196.00 ",2017
Lake Chelan NRA,"38,463","$2,576.30 ",31,"$1,169.00 ","$2,162.60 ","$3,378.60 ",2017
Lake Clark NP&PRES,"22,755","$34,939.20 ",455,"$16,173.30 ","$30,670.70 ","$50,931.30 ",2017
Lake Mead NRA,"7,882,339","$336,260.30 ","4,192","$145,706.40 ","$240,843.10 ","$391,567.90 ",2017
Lake Meredith NRA,"1,329,076","$56,451.60 ",774,"$20,585.50 ","$35,089.50 ","$63,831.20 ",2017
Lake Roosevelt NRA,"1,304,403","$55,695.20 ",747,"$20,389.20 ","$37,409.50 ","$64,714.70 ",2017
Lassen Volcanic NP,"507,256","$30,096.80 ",437,"$11,492.50 ","$18,690.00 ","$34,535.70 ",2017
Lava Beds NM*,"135,286","$5,621.30 ",74,"$2,004.90 ","$3,176.70 ","$5,947.50 ",2017
Lewis and Clark NHP,"293,355","$16,772.20 ",260,"$8,265.10 ","$13,837.00 ","$23,855.80 ",2017
Lincoln MEM,"7,956,117","$147,306.80 ","1,963","$77,636.40 ","$131,859.60 ","$209,044.10 ",2017
Lincoln Boyhood NMEM*,"143,650","$6,675.70 ",112,"$3,036.40 ","$5,105.30 ","$9,152.30 ",2017
Lincoln Home NHS*,"232,265","$13,777.30 ",207,"$5,391.60 ","$9,730.30 ","$17,184.70 ",2017
Little Bighorn Battlefield NM,"296,128","$16,930.70 ",275,"$7,508.50 ","$11,906.20 ","$22,365.10 ",2017
Little River Canyon NPRES,"367,058","$20,986.00 ",332,"$8,955.00 ","$15,109.50 ","$27,369.40 ",2017
Little Rock Central High School NHS,"170,413","$9,743.10 ",157,"$4,020.00 ","$7,229.00 ","$13,047.10 ",2017
Longfellow NHS,"51,606","$2,950.50 ",41,"$1,613.60 ","$2,623.50 ","$4,182.50 ",2017
Lowell NHP,"562,499","$32,160.10 ",445,"$17,521.70 ","$28,519.10 ","$45,553.70 ",2017
Lyndon B Johnson NHP,"146,119","$8,354.20 ",123,"$4,104.90 ","$7,024.80 ","$11,889.00 ",2017
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,"277,402","$15,860.10 ",210,"$8,243.40 ","$13,703.40 ","$21,746.80 ",2017
Maggie L Walker NHS,"10,738",$614.00 ,8,$271.70 ,$469.20 ,$826.30 ,2017
Mammoth Cave NP,"587,854","$48,145.50 ",706,"$22,993.60 ","$39,264.50 ","$66,846.60 ",2017
Manassas NBP,"605,577","$34,623.00 ",455,"$17,955.90 ","$29,817.00 ","$47,176.40 ",2017
Manhattan Project (New Mexico) NHP!,"7,020",$401.40 ,4,$164.50 ,$271.10 ,$463.20 ,2017
Manhattan Project (Washington) NHP!,"12,172",$391.50 ,6,$139.90 ,$254.40 ,$423.20 ,2017
Manhattan Project (Tennessee) NHP!,"70,406","$1,309.60 ",19,$529.40 ,$826.50 ,"$1,456.80 ",2017
Manzanar NHS*,"114,461","$11,683.40 ",164,"$4,884.70 ","$7,874.60 ","$13,731.60 ",2017
Marsh - Billings - Rockefeller NHP,"46,523","$2,659.90 ",39,"$1,199.30 ","$2,047.50 ","$3,426.80 ",2017
Martin Luther King Jr NHS,"584,436","$33,414.30 ",522,"$17,734.90 ","$29,827.50 ","$50,420.00 ",2017
"Martin Luther King, Jr. MEM","3,651,093","$67,599.70 ",900,"$35,627.60 ","$60,510.90 ","$95,931.10 ",2017
Martin Van Buren NHS,"22,023","$1,259.10 ",16,$599.00 ,"$1,019.70 ","$1,628.40 ",2017
Mary McLeod Bethune Council House NHS,276,$5.10 ,0,$2.70 ,$4.60 ,$7.30 ,2017
Mesa Verde NP*,"613,789","$62,294.40 ",909,"$24,336.90 ","$42,533.30 ","$77,020.30 ",2017
Minidoka (Idaho) NHS,"9,923",$169.20 ,2,$56.20 ,$84.80 ,$167.70 ,2017
Minidoka (Washington) NHS,"1,699",$97.20 ,0,$31.30 ,$61.30 ,$106.10 ,2017
