Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Carter G. Woodson Home NHS,"2,380",$46 ,1,$25 ,$42 ,$66 ,2019
Casa Grande Ruins NM,"68,380","$4,067 ",59,"$2,116 ","$3,632 ","$6,059 ",2019
Castillo De San Marcos NM,"673,395","$40,053 ",607,"$18,025 ","$31,298 ","$54,561 ",2019
Castle Clinton NM,"4,361,034","$110,133 ","1,110","$51,951 ","$85,654 ","$128,641 ",2019
Catoctin Mountain P,"296,845","$18,851 ",239,"$9,882 ","$16,440 ","$25,901 ",2019
Cedar Breaks NM,"579,860","$37,822 ",524,"$13,656 ","$24,147 ","$43,832 ",2019
Cesar E. Chavez NM,"16,489",$981 ,13,$528 ,$856 ,"$1,358 ",2019
Chaco Culture NHP,"47,342","$2,741 ",40,"$1,100 ","$1,912 ","$3,447 ",2019
Chamizal NMEM,"38,228","$2,274 ",34,$908 ,"$1,545 ","$2,856 ",2019
Channel Islands NP,"409,630","$25,285 ",314,"$13,835 ","$22,621 ","$35,685 ",2019
Charles Pinckney NHS,"35,495","$2,111 ",28,$919 ,"$1,607 ","$2,662 ",2019
Charles Young Buffalo Soldiers NM,"14,105",$839 ,13,$375 ,$627 ,"$1,111 ",2019
Chattahoochee River NRA,"3,393,134","$151,634 ","2,164","$74,757 ","$126,388 ","$213,122 ",2019
Chesapeake & Ohio Canal NHP,"5,116,787","$98,442 ","1,326","$52,901 ","$89,474 ","$142,768 ",2019
Chickamauga & Chattanooga NMP,"977,157","$58,100 ",870,"$23,225 ","$39,632 ","$72,150 ",2019
Chickasaw NRAa,"1,422,612","$23,444 ",232,"$6,115 ","$9,955 ","$18,348 ",2019
Chiricahua NM,"60,655","$3,669 ",52,"$1,115 ","$2,010 ","$3,896 ",2019
Christiansted NHS,"103,594","$6,162 ",69,"$2,863 ","$5,122 ","$7,923 ",2019
City Of Rocks NRES,"99,311","$5,907 ",86,"$2,214 ","$3,744 ","$6,829 ",2019
Clara Barton NHS,"4,100",$244 ,3,$131 ,$217 ,$341 ,2019
Colonial NHPa,"3,327,269","$337,484 ","5,104","$127,744 ","$237,125 ","$423,579 ",2019
Colorado NM,"397,032","$25,182 ",352,"$9,700 ","$17,109 ","$30,731 ",2019
Congaree NPa,"159,445","$8,173 ",102,"$3,143 ","$5,606 ","$9,643 ",2019
Coronado NMEM,"130,328","$7,752 ",118,"$3,067 ","$5,491 ","$9,849 ",2019
Cowpens NB,"223,413","$14,606 ",207,"$7,074 ","$11,897 ","$20,162 ",2019
Crater Lake NP,"704,511","$61,780 ",892,"$29,210 ","$48,118 ","$82,859 ",2019
Craters Of The Moon NM&PRESa,"272,224","$9,579 ",136,"$3,418 ","$5,787 ","$10,979 ",2019
Cumberland Gap NHP,"704,599","$45,700 ",623,"$19,500 ","$33,534 ","$58,458 ",2019
Cumberland Island NS,"53,905","$2,275 ",32,$989 ,"$1,642 ","$2,816 ",2019
Curecanti NRA,"836,034","$37,014 ",452,"$14,618 ","$25,175 ","$41,922 ",2019
Cuyahoga Valley NPa,"2,237,997","$39,503 ",579,"$19,865 ","$33,169 ","$57,220 ",2019
Dayton Aviation Heritage NHPa,"94,708","$5,679 ",92,"$3,076 ","$5,180 ","$8,865 ",2019
De Soto NMEM,"187,880","$11,175 ",167,"$5,493 ","$9,494 ","$16,119 ",2019
Death Valley NP,"1,740,945","$147,122 ","1,811","$70,634 ","$119,244 ","$190,145 ",2019
Delaware Water Gap NRAa,"3,374,865","$118,076 ","1,621","$67,406 ","$112,257 ","$173,694 ",2019
Denali NP&PRES,"601,152","$612,770 ","7,490","$287,751 ","$541,354 ","$874,209 ",2019
Devils Postpile NM,"147,864","$9,667 ",120,"$4,090 ","$6,776 ","$11,333 ",2019
Devils Tower NM,"450,786","$29,189 ",402,"$11,895 ","$20,593 ","$37,193 ",2019
Dinosaur NM,"298,965","$18,044 ",220,"$6,868 ","$11,855 ","$20,066 ",2019
Dry Tortugas NP,"79,200","$4,836 ",55,"$1,953 ","$3,370 ","$5,448 ",2019
Edgar Allan Poe NHS,"15,528",$924 ,13,$526 ,$852 ,"$1,371 ",2019
Effigy Mounds NMa,"65,582","$4,258 ",68,"$1,689 ","$2,894 ","$5,313 ",2019
Eisenhower NHS,"47,277","$2,812 ",37,"$1,504 ","$2,474 ","$3,906 ",2019
El Malpais NM,"158,924","$9,453 ",147,"$3,942 ","$6,814 ","$12,434 ",2019
El Morro NM,"68,868","$4,409 ",63,"$1,242 ","$2,305 ","$4,602 ",2019
Eleanor Roosevelt NHS,"47,631","$2,833 ",34,"$1,437 ","$2,426 ","$3,737 ",2019
Eugene O'Neill NHS,"2,945",$175 ,2,$100 ,$159 ,$241 ,2019
Everglades NP,"1,118,300","$110,371 ","1,508","$57,472 ","$101,388 ","$164,874 ",2019
Federal Hall NMEM,"264,849","$15,753 ",184,"$8,708 ","$14,704 ","$21,916 ",2019
Fire Island NS,"391,311","$17,377 ",186,"$8,784 ","$14,818 ","$22,023 ",2019
First Ladies NHS,"10,913",$649 ,10,$334 ,$555 ,$960 ,2019
Flight 93 NMEM,"411,225","$24,459 ",384,"$12,196 ","$19,789 ","$34,383 ",2019
Florissant Fossil Beds NM,"77,339","$4,600 ",64,"$2,396 ","$4,105 ","$6,718 ",2019
Ford's Theatre NHS,"572,373","$11,031 ",143,"$6,004 ","$10,160 ","$15,901 ",2019
Fort Bowie NHS,"7,577",$451 ,7,$176 ,$315 ,$565 ,2019
Fort Caroline NMEM,"187,657","$11,162 ",169,"$5,288 ","$9,119 ","$15,733 ",2019
Fort Davis NHS,"51,995","$3,093 ",43,"$1,037 ","$1,841 ","$3,340 ",2019
Fort Donelson NB,"254,431","$16,634 ",203,"$7,868 ","$13,189 ","$21,298 ",2019
Fort Frederica NM,"212,330","$12,629 ",185,"$5,740 ","$9,771 ","$16,775 ",2019
Fort Laramie NHS,"42,893","$2,551 ",37,$912 ,"$1,642 ","$3,016 ",2019
Fort Larned NHSa,"26,958","$1,659 ",24,$542 ,$956 ,"$1,865 ",2019
Fort Matanzas NM,"593,787","$35,318 ",536,"$16,026 ","$27,843 ","$48,467 ",2019
Fort McHenry NM&SHRINE,"419,545","$24,954 ",331,"$13,372 ","$22,319 ","$35,150 ",2019
Fort Necessity NB,"312,104","$18,557 ",293,"$9,557 ","$15,588 ","$26,958 ",2019
Fort Point NHS,"1,421,349","$84,541 ",991,"$48,363 ","$76,652 ","$116,298 ",2019
Fort Pulaski NM,"374,289","$24,470 ",318,"$10,241 ","$18,077 ","$30,212 ",2019
Fort Raleigh NHS,"248,139","$14,759 ",221,"$6,106 ","$10,600 ","$18,845 ",2019
Fort Scott NHSa,"24,069",$438 ,6,$136 ,$222 ,$438 ,2019
Fort Smith NHS,"125,500","$7,464 ",118,"$2,687 ","$4,899 ","$9,251 ",2019
Fort Stanwix NMa,"97,412","$5,462 ",71,"$2,028 ","$4,016 ","$6,639 ",2019
Fort Sumter NM,"877,894","$52,216 ",702,"$22,713 ","$39,739 ","$65,933 ",2019
Fort Union NMa,"11,063",$760 ,10,$291 ,$487 ,$852 ,2019
Fort Union Trading Post NHSa,"12,967","$1,057 ",12,$391 ,$615 ,"$1,037 ",2019
Fort Vancouver NHS,"1,018,215","$60,562 ",871,"$31,388 ","$52,409 ","$87,371 ",2019
Fort Washington P,"423,868","$25,211 ",322,"$13,440 ","$22,396 ","$34,877 ",2019
Fossil Butte NMa,"20,554","$1,042 ",13,$381 ,$642 ,"$1,118 ",2019
Franklin Delano Roosevelt MEM,"3,303,573","$63,668 ",826,"$34,653 ","$58,643 ","$91,777 ",2019
Frederick Douglass NHS,"61,063","$1,177 ",15,$640 ,"$1,083 ","$1,692 ",2019
Frederick Law Olmsted NHS,"7,791",$463 ,6,$257 ,$421 ,$663 ,2019
Fredericksburg & Spotsylvania NMP,"906,800","$53,936 ",690,"$28,104 ","$46,649 ","$73,124 ",2019
Friendship Hill NHS,"34,160","$2,032 ",32,"$1,036 ","$1,694 ","$2,928 ",2019
Gates Of The Arctic NP&PRES,"10,518","$16,078 ",198,"$7,546 ","$14,125 ","$22,877 ",2019
Gateway NRAa,"9,405,622","$254,946 ","3,014","$100,911 ","$178,701 ","$287,540 ",2019
Gauley River NRA,"119,282","$5,302 ",73,"$2,027 ","$3,396 ","$5,988 ",2019
General Grant NMEM,"113,852","$6,772 ",79,"$3,744 ","$6,326 ","$9,435 ",2019
George Rogers Clark NHP,"140,130","$8,335 ",125,"$3,136 ","$5,523 ","$10,144 ",2019
George Washington Birthplace NMa,"139,666","$6,491 ",81,"$3,328 ","$5,469 ","$8,518 ",2019
George Washington Carver NMa,"49,553",$929 ,13,$346 ,$571 ,"$1,054 ",2019
George Washington MEM PKWY,"7,487,265","$50,125 ",799,"$27,906 ","$44,782 ","$73,359 ",2019
Gettysburg NMP,"925,116","$60,310 ",761,"$31,504 ","$52,386 ","$82,593 ",2019
Gila Cliff Dwellings NM,"66,615","$3,962 ",60,"$1,112 ","$2,018 ","$4,058 ",2019
Glacier Bay NP&PRESa,"672,087","$246,447 ","2,929","$121,238 ","$213,514 ","$402,334 ",2019
Glacier NPa,"3,049,840","$356,112 ","5,395","$169,133 ","$278,790 ","$501,198 ",2019
Glen Canyon NRAa,"4,330,562","$420,177 ","5,153","$163,428 ","$285,807 ","$494,897 ",2019
Golden Gate NRAa,"15,002,227","$1,038,146 ","10,606","$611,241 ","$979,482 ","$1,395,685 ",2019
Golden Spike NHSa,"108,153","$6,278 ",95,"$2,957 ","$4,994 ","$8,840 ",2019
Governors Island NM,"590,993","$35,152 ",410,"$19,432 ","$32,812 ","$48,904 ",2019
Grand Canyon NPa,"5,974,410","$891,243 ","11,806","$354,979 ","$634,575 ","$1,089,195 ",2019
Grand Portage NM,"94,985","$6,208 ",78,"$1,805 ","$3,358 ","$6,095 ",2019
Grand Teton NPa,"3,405,614","$629,536 ","8,638","$274,619 ","$463,007 ","$795,638 ",2019
Grant-Kohrs Ranch NHS,"25,044","$1,490 ",23,$687 ,"$1,065 ","$1,949 ",2019
Great Basin NP,"131,802","$7,767 ",108,"$2,393 ","$4,183 ","$8,018 ",2019
Great Sand Dunes NP&PRES,"527,546","$33,090 ",449,"$13,028 ","$22,828 ","$40,140 ",2019
Great Smoky Mountains NP,"12,547,743","$1,054,815 ","15,176","$482,218 ","$824,057 ","$1,427,790 ",2019
Greenbelt P,"128,702","$8,146 ",101,"$4,247 ","$7,123 ","$11,104 ",2019
Guadalupe Mountains NP,"188,833","$11,880 ",166,"$4,478 ","$7,807 ","$14,306 ",2019
Guilford Courthouse NMP,"223,901","$13,317 ",208,"$6,398 ","$10,640 ","$18,624 ",2019
Gulf Islands NS,"5,600,241","$249,304 ","3,305","$105,295 ","$181,992 ","$310,006 ",2019
Hagerman Fossil Beds NM,"23,768","$1,414 ",21,$649 ,"$1,076 ","$1,904 ",2019
Haleakala NP,"994,393","$64,738 ",684,"$29,104 ","$53,202 ","$81,590 ",2019
Hamilton Grange NMEM,"71,248","$4,238 ",49,"$2,335 ","$3,948 ","$5,876 ",2019
Hampton NHS,"28,233","$1,679 ",22,$909 ,"$1,511 ","$2,383 ",2019
Harpers Ferry NHPa,"299,576","$15,004 ",213,"$8,584 ","$14,166 ","$22,307 ",2019
Harry S Truman NHS,"30,745","$1,829 ",30,$959 ,"$1,602 ","$2,816 ",2019
Hawaii Volcanoes NP,"1,368,375","$116,455 ","1,279","$53,795 ","$99,886 ","$153,036 ",2019
Herbert Hoover NHS,"125,687","$7,476 ",115,"$3,093 ","$5,368 ","$9,663 ",2019
Home Of Franklin D Roosevelt NHS,"147,109","$8,750 ",106,"$4,485 ","$7,540 ","$11,631 ",2019
Homestead NMa,"61,635","$2,072 ",31,$737 ,"$1,253 ","$2,348 ",2019
Hopewell Culture NHP,"60,337","$3,589 ",55,"$1,794 ","$3,011 ","$5,165 ",2019
Hopewell Furnace NHS,"49,861","$2,966 ",45,"$1,668 ","$2,694 ","$4,442 ",2019
Horseshoe Bend NMP,"45,372","$2,699 ",42,"$1,160 ","$1,996 ","$3,600 ",2019
Hot Springs NP,"1,467,153","$95,358 ","1,420","$36,590 ","$68,395 ","$124,191 ",2019
Hovenweep NM,"35,399","$2,267 ",31,$815 ,"$1,479 ","$2,715 ",2019
Hubbell Trading Post NHS,"50,285","$2,991 ",45,$997 ,"$1,803 ","$3,497 ",2019
Independence NHP,"4,532,460","$269,587 ","3,846","$153,404 ","$248,633 ","$400,300 ",2019
Indiana Dunes NL,"2,134,285","$95,259 ","1,143","$49,230 ","$83,336 ","$129,794 ",2019
Isle Royale NP,"26,410","$6,188 ",92,"$1,990 ","$3,780 ","$7,132 ",2019
James A Garfield NHSa,"41,304","$1,508 ",24,$758 ,"$1,266 ","$2,224 ",2019
Jean Lafitte NP&PRES,"590,330","$35,112 ",503,"$15,535 ","$27,451 ","$46,743 ",2019
Jefferson NEMa,"2,055,309","$208,188 ","3,494","$111,542 ","$186,496 ","$328,387 ",2019
Jewel Cave NM,"123,489","$7,345 ",107,"$3,046 ","$5,131 ","$9,390 ",2019
Jimmy Carter NHS,"50,789","$3,021 ",49,"$1,107 ","$1,942 ","$3,760 ",2019
John D Rockefeller Jr MEM PKWY,"1,426,666","$8,220 ",104,"$3,170 ","$5,560 ","$8,843 ",2019
John Day Fossil Beds NMa,"197,091","$9,596 ",127,"$3,900 ","$6,400 ","$11,159 ",2019
John F Kennedy NHS,"24,838","$1,477 ",19,$818 ,"$1,343 ","$2,112 ",2019
John Muir NHS,"40,725","$2,422 ",28,"$1,386 ","$2,197 ","$3,335 ",2019
Johnstown Flood NMEMa,"183,143","$11,523 ",188,"$5,942 ","$9,653 ","$16,875 ",2019
Joshua Tree NPa,"2,988,547","$149,952 ","1,864","$73,726 ","$125,566 ","$200,853 ",2019
Kalaupapa NHP,"69,400","$4,128 ",46,"$1,918 ","$3,431 ","$5,308 ",2019
Kaloko-Honokohau NHP,"232,920","$13,854 ",155,"$6,438 ","$11,515 ","$17,815 ",2019
Katmai NP&PRES,"84,167","$128,681 ","1,584","$60,394 ","$113,052 ","$183,096 ",2019
Kenai Fjords NP,"356,601","$65,496 ","1,118","$35,714 ","$54,627 ","$94,273 ",2019
Kennesaw Mountain NBP,"2,621,049","$155,898 ","2,391","$82,857 ","$140,747 ","$236,464 ",2019
Keweenaw NHP,"20,536","$1,221 ",18,$342 ,$665 ,"$1,292 ",2019
Kings Canyon NP,"632,111","$56,084 ",742,"$25,089 ","$41,226 ","$69,399 ",2019
Kings Mountain NMPa,"262,031","$10,669 ",155,"$5,253 ","$8,607 ","$14,588 ",2019
Klondike Gold Rush AK NHPa,"1,116,161","$175,091 ","2,650","$92,236 ","$134,233 ","$219,758 ",2019
Klondike Gold Rush WA NHP,"109,800","$6,531 ",75,"$3,146 ","$5,683 ","$8,684 ",2019
Knife River Indian Villages NHS,"10,354",$616 ,9,$276 ,$449 ,$814 ,2019
Kobuk Valley NP,"15,766","$24,106 ",297,"$11,314 ","$21,178 ","$34,300 ",2019
Korean War Veterans MEM,"3,841,633","$74,038 ",960,"$40,298 ","$68,195 ","$106,726 ",2019
Lake Chelan NRA,"38,785","$2,831 ",30,"$1,346 ","$2,471 ","$3,696 ",2019
Lake Clark NP&PRES,"17,157","$26,230 ",323,"$12,311 ","$23,045 ","$37,322 ",2019
Lake Mead NRA,"7,499,049","$335,795 ","3,979","$149,784 ","$246,917 ","$396,952 ",2019
Lake Meredith NRA,"1,328,341","$58,996 ",786,"$22,136 ","$36,819 ","$66,789 ",2019
Lake Roosevelt NRA,"1,358,818","$60,635 ",740,"$23,381 ","$42,790 ","$71,096 ",2019
Lassen Volcanic NP,"517,038","$31,906 ",427,"$12,286 ","$20,404 ","$36,199 ",2019
Lava Beds NMa,"109,629","$4,724 ",57,"$1,731 ","$2,807 ","$4,932 ",2019
Lewis and Clark NHP,"270,993","$16,118 ",222,"$8,147 ","$13,845 ","$22,714 ",2019
Lincoln Boyhood NMEMa,"138,715","$6,725 ",102,"$3,029 ","$5,248 ","$9,122 ",2019
Lincoln Home NHSa,"197,817","$12,240 ",176,"$4,571 ","$8,734 ","$15,258 ",2019
Lincoln MEM,"7,808,182","$150,484 ","1,951","$81,905 ","$138,607 ","$216,922 ",2019
Little Bighorn Battlefield NM,"241,305","$14,353 ",220,"$6,455 ","$10,299 ","$18,854 ",2019
Little River Canyon NPRES,"649,985","$38,660 ",598,"$16,569 ","$28,443 ","$51,214 ",2019
Little Rock Central High School NHS,"168,918","$10,047 ",159,"$4,044 ","$7,424 ","$13,500 ",2019
Longfellow NHS,"55,013","$3,272 ",43,"$1,818 ","$2,984 ","$4,686 ",2019
Lowell NHP,"481,536","$28,641 ",377,"$15,845 ","$26,061 ","$40,963 ",2019
Lyndon B Johnson NHP,"111,972","$6,660 ",95,"$3,348 ","$5,691 ","$9,513 ",2019
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,"244,246","$14,528 ",189,"$7,769 ","$12,930 ","$20,253 ",2019
Maggie L Walker NHS,"9,601",$571 ,9,$258 ,$449 ,$779 ,2019
Mammoth Cave NP,"551,589","$48,079 ",637,"$23,517 ","$40,341 ","$66,053 ",2019
Manassas NBP,"510,428","$30,360 ",390,"$16,182 ","$26,971 ","$42,124 ",2019
Manhattan Project (New Mexico) NHP,"21,790","$1,296 ",17,$532 ,$888 ,"$1,518 ",2019
Manhattan Project (Tennessee) NHP,"30,123",$581 ,8,$246 ,$386 ,$657 ,2019
Manhattan Project (Washington) NHP,"27,958",$935 ,11,$343 ,$631 ,"$1,025 ",2019
Manzanar NHSa,"97,381","$10,390 ",129,"$4,485 ","$7,314 ","$12,069 ",2019
Marsh – Billings – Rockefeller NHP,"45,980","$2,735 ",36,"$1,198 ","$2,125 ","$3,476 ",2019
Martin Luther King Jr NHS,"761,649","$45,302 ",694,"$24,169 ","$41,074 ","$68,869 ",2019
"Martin Luther King, Jr. MEM","3,667,562","$70,683 ",917,"$38,472 ","$65,105 ","$101,890 ",2019
Martin Van Buren NHS,"20,623","$1,227 ",15,$584 ,"$1,005 ","$1,588 ",2019
Mary McLeod Bethune Council House NHS,"3,788",$73 ,1,$40 ,$67 ,$105 ,2019
Mesa Verde NPa,"556,204","$58,125 ",822,"$22,175 ","$39,857 ","$72,042 ",2019
Minidoka (Idaho) NHS,"6,275",$111 ,2,$37 ,$59 ,$115 ,2019
Minidoka (Washington) NHS,"7,372",$438 ,5,$149 ,$293 ,$481 ,2019
Minute Man NHP,"1,017,326","$60,510 ",796,"$33,563 ","$55,156 ","$86,725 ",2019
Minuteman Missile NHSa,"125,776","$9,509 ",137,"$3,980 ","$6,579 ","$12,118 ",2019
Mississippi NRRA,"374,682","$16,744 ",236,"$8,156 ","$13,884 ","$23,518 ",2019
Missouri NRR,"129,280","$5,777 ",81,"$2,269 ","$3,782 ","$6,830 ",2019
Mojave NPRES,"841,515","$50,050 ",632,"$23,935 ","$39,539 ","$63,397 ",2019
Monocacy NBa,"144,969","$5,114 ",72,"$2,044 ","$3,585 ","$6,099 ",2019
Montezuma Castle NM,"376,255","$22,379 ",322,"$11,583 ","$19,836 ","$32,839 ",2019
Moores Creek NB,"77,006","$5,029 ",69,"$1,853 ","$3,357 ","$5,975 ",2019
Morristown NHP,"271,330","$16,138 ",194,"$9,052 ","$15,140 ","$22,809 ",2019
Mount Rainier NPa,"1,501,621","$55,866 ",608,"$25,656 ","$45,985 ","$70,187 ",2019
Mount Rushmore NMEM,"1,963,539","$116,789 ","1,717","$49,158 ","$82,558 ","$151,527 ",2019
Muir Woods NMa,"812,073","$92,590 ",916,"$54,392 ","$88,543 ","$125,729 ",2019
Natchez NHP,"182,123","$10,832 ",161,"$4,325 ","$7,727 ","$13,750 ",2019
Natchez Trace PKWY,"6,296,041","$156,161 ","1,897","$57,511 ","$93,279 ","$161,906 ",2019
National Capital Parks Central,"1,770,794","$34,128 ",444,"$18,580 ","$31,435 ","$49,265 ",2019
National Capital Parks East,"1,210,641","$23,332 ",312,"$12,751 ","$21,705 ","$34,258 ",2019
National Park of American Samoa,"60,006","$3,569 ",40,"$1,659 ","$2,967 ","$4,590 ",2019
Natural Bridges NM,"88,089","$5,620 ",72,"$1,982 ","$3,525 ","$6,263 ",2019
Navajo NM,"49,983","$3,158 ",41,"$1,083 ","$1,941 ","$3,471 ",2019
New Bedford Whaling NHPa,"143,428","$7,834 ",108,"$4,556 ","$7,494 ","$11,665 ",2019
New Orleans Jazz NHP,"41,049","$2,442 ",35,"$1,125 ","$1,976 ","$3,323 ",2019
New River Gorge NR,"1,195,722","$53,403 ",750,"$20,637 ","$34,903 ","$62,164 ",2019
Nez Perce NHP,"216,068","$12,852 ",173,"$5,125 ","$9,400 ","$15,859 ",2019
Nicodemus NHSa,"3,540",$200 ,3,$61 ,$103 ,$199 ,2019
Ninety Six NHS,"97,295","$5,787 ",85,"$2,501 ","$4,320 ","$7,545 ",2019
Niobrara NSRa,"60,812","$6,271 ",101,"$1,964 ","$3,377 ","$7,016 ",2019
Noatak NPRES,"17,216","$26,323 ",324,"$12,354 ","$23,126 ","$37,454 ",2019
North Cascades NP,"38,208","$1,895 ",19,$864 ,"$1,498 ","$2,230 ",2019
Obed W&SRa,"221,301","$4,115 ",47,"$1,511 ","$2,332 ","$4,034 ",2019
Ocmulgee NM,"146,925","$8,739 ",140,"$3,196 ","$5,607 ","$10,697 ",2019
Olympic NP,"3,245,805","$276,115 ","3,131","$134,438 ","$248,304 ","$377,779 ",2019
Oregon Caves NM,"65,006","$4,192 ",58,"$1,720 ","$2,839 ","$5,022 ",2019
Organ Pipe Cactus NM,"263,186","$16,502 ",230,"$8,275 ","$14,358 ","$23,942 ",2019
Ozark NSR,"1,221,488","$54,000 ",819,"$17,468 ","$29,395 ","$58,601 ",2019
Padre Island NS,"576,298","$25,392 ",345,"$9,573 ","$16,141 ","$29,155 ",2019
Palo Alto Battlefield NHP,"149,732","$8,906 ",136,"$3,569 ","$6,068 ","$11,256 ",2019
Paterson Great Falls NHP,"276,985","$16,475 ",192,"$9,136 ","$14,517 ","$21,867 ",2019
Pea Ridge NMP,"102,752","$6,112 ",97,"$2,516 ","$4,301 ","$7,935 ",2019
Pecos NHP,"43,833","$2,607 ",39,"$1,133 ","$1,925 ","$3,425 ",2019
