Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Brown V Board of Education NHSc,"9,113",$593 ,9,$313 ,$518 ,$930 ,2021
Bryce Canyon NP,"2,104,600","$194,832 ","2,693","$78,801 ","$135,874 ","$252,003 ",2021
Buck Island Reef NM,"45,664","$3,187 ",31,"$1,418 ","$2,612 ","$3,982 ",2021
Buffalo NR,"1,515,874","$74,321 ",994,"$27,992 ","$47,616 ","$89,818 ",2021
Cabrillo NM,"683,613","$44,502 ",564,"$24,397 ","$38,361 ","$62,489 ",2021
Camp Nelson NM,"43,095","$2,805 ",43,"$1,303 ","$2,048 ","$3,875 ",2021
Canaveral NSa,"2,218,059","$89,972 ","1,168","$43,613 ","$74,117 ","$127,957 ",2021
Cane River Creole NHP,"14,984",$976 ,13,$380 ,$662 ,"$1,229 ",2021
Canyon De Chelly NMc,"184,191","$13,826 ",182,"$4,764 ","$8,535 ","$16,341 ",2021
Canyonlands NP,"911,594","$62,875 ",777,"$22,784 ","$38,827 ","$71,270 ",2021
Cape Cod NSa,"4,017,239","$547,135 ","6,709","$275,758 ","$449,823 ","$748,963 ",2021
Cape Hatteras NS,"3,206,056","$226,340 ","3,200","$92,079 ","$157,971 ","$293,968 ",2021
Cape Krusenstern NM,"12,162","$19,816 ",279,"$10,855 ","$17,315 ","$29,654 ",2021
Cape Lookout NS,"562,461","$27,621 ",357,"$9,927 ","$16,200 ","$30,694 ",2021
Capitol Reef NPa,"1,405,353","$113,355 ","1,361","$42,947 ","$74,236 ","$131,894 ",2021
Capulin Volcano NMa,"106,623","$3,596 ",45,"$1,177 ","$1,975 ","$3,750 ",2021
Carl Sandburg Home NHS,"47,846","$3,115 ",44,"$1,351 ","$2,275 ","$4,122 ",2021
Carlsbad Caverns NP,"349,244","$25,066 ",312,"$8,679 ","$14,898 ","$27,448 ",2021
Carter G. Woodson Home NHSc,0,$0 ,0,$0 ,$0 ,$0 ,2021
Casa Grande Ruins NM,"49,261","$3,207 ",44,"$1,725 ","$2,879 ","$4,958 ",2021
Castillo De San Marcos NM,"498,623","$32,460 ",469,"$15,138 ","$25,825 ","$46,257 ",2021
Castle Clinton NM,"1,665,660","$46,957 ",465,"$23,865 ","$37,939 ","$59,211 ",2021
Catoctin Mountain P,"520,339","$37,206 ",452,"$20,769 ","$33,758 ","$54,121 ",2021
Cedar Breaks NM,"772,886","$55,340 ",726,"$21,505 ","$36,862 ","$68,780 ",2021
Cesar E. Chavez NM,"9,164",$596 ,7,$345 ,$541 ,$872 ,2021
Chaco Culture NHP,"31,922","$2,062 ",28,$821 ,"$1,431 ","$2,631 ",2021
Chamizal NMEM,"19,600","$1,275 ",19,$534 ,$849 ,"$1,656 ",2021
Channel Islands NP,"319,252","$21,278 ",254,"$12,373 ","$19,516 ","$31,155 ",2021
Charles Pinckney NHS,"24,854","$1,618 ",21,$705 ,"$1,220 ","$2,103 ",2021
Charles Young Buffalo Soldiers NM,"8,110",$528 ,8,$256 ,$404 ,$734 ,2021
Chattahoochee River NRA,"3,256,151","$160,343 ","2,168","$81,410 ","$135,817 ","$235,592 ",2021
Chesapeake & Ohio Canal NHP,"5,005,217","$104,456 ","1,364","$59,764 ","$98,617 ","$160,941 ",2021
Chickamauga & Chattanooga NMP,"945,390","$61,521 ",881,"$25,547 ","$41,984 ","$78,685 ",2021
Chickasaw NRAa,"1,517,102","$28,756 ",267,"$7,444 ","$12,063 ","$24,164 ",2021
Chiricahua NM,"53,413","$3,469 ",42,"$1,205 ","$2,045 ","$3,727 ",2021
Christiansted NHS,"91,200","$5,937 ",61,"$2,766 ","$4,967 ","$7,653 ",2021
City of Rocks NRES,"97,376","$6,339 ",84,"$2,400 ","$4,083 ","$7,539 ",2021
Clara Barton NHSc,0,$0 ,0,$0 ,$0 ,$0 ,2021
Colonial NHPa,"3,114,420","$336,833 ","5,039","$143,481 ","$245,082 ","$453,114 ",2021
Colorado NM,"499,841","$34,948 ",453,"$13,699 ","$23,700 ","$43,630 ",2021
Congaree NPa,"215,181","$12,311 ",145,"$4,727 ","$8,416 ","$14,808 ",2021
Coronado NMEM,"129,758","$8,447 ",112,"$3,776 ","$6,276 ","$11,087 ",2021
Cowpens NB,"204,811","$14,703 ",204,"$7,390 ","$12,256 ","$21,391 ",2021
Crater Lake NP,"647,751","$61,964 ",887,"$33,579 ","$51,661 ","$90,509 ",2021
Craters of the Moon NM&PRESa,"270,829","$10,521 ",140,"$3,868 ","$6,490 ","$12,379 ",2021
Cumberland Gap NHP,"814,119","$57,767 ",775,"$26,091 ","$43,669 ","$78,283 ",2021
Cumberland Island NS,"72,240","$3,423 ",45,"$1,537 ","$2,554 ","$4,524 ",2021
Curecanti NRA,"1,043,725","$51,045 ",579,"$20,643 ","$34,259 ","$59,799 ",2021
Cuyahoga Valley NPa,"2,575,275","$48,712 ",681,"$26,464 ","$41,878 ","$75,054 ",2021
Dayton Aviation Heritage NHPa,"65,735","$4,272 ",68,"$2,494 ","$3,991 ","$7,061 ",2021
De Soto NMEM,"222,380","$14,476 ",208,"$7,400 ","$12,390 ","$21,777 ",2021
Death Valley NP,"1,146,551","$104,182 ","1,228","$51,126 ","$86,399 ","$138,262 ",2021
Delaware Water Gap NRAa,"4,340,902","$163,399 ","2,290","$108,567 ","$163,078 ","$260,070 ",2021
Denali NP&PRES,"229,521","$255,220 ","3,585","$139,985 ","$224,864 ","$383,763 ",2021
Devils Postpile NM,"145,387","$10,437 ",127,"$4,730 ","$7,573 ","$13,030 ",2021
Devils Tower NM,"550,712","$39,420 ",522,"$15,650 ","$27,671 ","$51,310 ",2021
Dinosaur NM,"359,560","$24,331 ",278,"$9,412 ","$15,898 ","$27,699 ",2021
Dry Tortugas NP,"83,817","$5,696 ",61,"$2,294 ","$3,892 ","$6,456 ",2021
Dwight D. Eisenhower MEM,"625,740","$13,144 ",166,"$7,613 ","$12,598 ","$20,155 ",2021
Edgar Allan Poe NHSc,0,$0 ,0,$0 ,$0 ,$0 ,2021
Effigy Mounds NMa,"66,734","$4,728 ",72,"$1,922 ","$3,162 ","$6,099 ",2021
Eisenhower NHS,"16,915","$1,101 ",14,$623 ,"$1,000 ","$1,611 ",2021
El Malpais NM,"181,729","$11,830 ",169,"$4,966 ","$8,516 ","$15,854 ",2021
El Morro NM,"66,734","$4,698 ",62,"$1,424 ","$2,586 ","$5,081 ",2021
Eleanor Roosevelt NHS,"12,414",$808 ,10,$441 ,$710 ,"$1,132 ",2021
Eugene O'Neill NHS,"22,714","$1,479 ",16,$878 ,"$1,350 ","$2,073 ",2021
Everglades NP,"942,130","$100,209 ","1,401","$53,662 ","$91,766 ","$154,787 ",2021
Federal Hall NMEMc,"4,583",$298 ,3,$178 ,$289 ,$438 ,2021
Fire Island NS,"224,924","$11,073 ",110,"$6,073 ","$9,878 ","$14,881 ",2021
First Ladies NHS,"6,562",$427 ,6,$236 ,$372 ,$657 ,2021
Flight 93 NMEM,"424,224","$27,616 ",398,"$14,798 ","$23,001 ","$40,596 ",2021
Florissant Fossil Beds NM,"75,128","$4,890 ",64,"$2,657 ","$4,376 ","$7,386 ",2021
Ford's Theatre NHSc,"101,146","$2,124 ",27,"$1,230 ","$2,036 ","$3,258 ",2021
Fort Bowie NHS,"9,280",$604 ,8,$265 ,$441 ,$779 ,2021
Fort Caroline NMEM,"323,852","$21,082 ",305,"$10,249 ","$17,402 ","$30,796 ",2021
Fort Davis NHS,"48,163","$3,135 ",40,"$1,188 ","$1,835 ","$3,369 ",2021
Fort Donelson NB,"234,898","$16,861 ",201,"$8,389 ","$13,649 ","$22,576 ",2021
Fort Frederica NM,"84,860","$5,524 ",78,"$2,622 ","$4,376 ","$7,689 ",2021
Fort Laramie NHS,"42,904","$2,793 ",39,"$1,068 ","$1,798 ","$3,458 ",2021
Fort Larned NHSa,"29,442","$2,005 ",27,$638 ,"$1,167 ","$2,259 ",2021
Fort Matanzas NM,"562,114","$36,592 ",530,"$17,155 ","$29,331 ","$52,491 ",2021
Fort McHenry NM&SHRINE,"150,075","$9,769 ",123,"$5,521 ","$8,998 ","$14,499 ",2021
Fort Necessity NB,"274,853","$17,887 ",261,"$9,807 ","$15,341 ","$27,069 ",2021
Fort Point NHS,"947,238","$61,663 ",661,"$36,617 ","$56,305 ","$86,455 ",2021
Fort Pulaski NM,"419,480","$30,113 ",380,"$12,685 ","$22,098 ","$38,039 ",2021
Fort Raleigh NHS,"293,447","$19,103 ",280,"$8,085 ","$13,677 ","$25,608 ",2021
Fort Scott NHSa,"22,894",$462 ,6,$143 ,$239 ,$484 ,2021
Fort Smith NHS,"99,854","$6,500 ",96,"$2,569 ","$4,449 ","$8,535 ",2021
Fort Stanwix NMa,"45,684","$2,818 ",32,"$1,188 ","$2,160 ","$3,548 ",2021
Fort Sumter NM,"349,492","$22,751 ",297,"$9,893 ","$17,157 ","$29,656 ",2021
Fort Union NMa,"12,618",$959 ,11,$360 ,$613 ,"$1,100 ",2021
Fort Union Trading Post NHSa,"11,479","$1,041 ",11,$360 ,$568 ,$990 ,2021
Fort Vancouver NHS,"809,525","$52,698 ",728,"$29,595 ","$47,221 ","$80,665 ",2021
Fort Washington P,"636,276","$41,420 ",505,"$23,308 ","$38,141 ","$60,719 ",2021
Fossil Butte NMa,"21,153","$1,180 ",14,$438 ,$732 ,"$1,313 ",2021
Franklin Delano Roosevelt MEM,"2,022,050","$42,472 ",535,"$24,599 ","$40,708 ","$65,127 ",2021
Frederick Douglass NHSc,"1,807",$38 ,0,$22 ,$37 ,$58 ,2021
Frederick Law Olmsted NHS,"4,300",$279 ,4,$169 ,$263 ,$425 ,2021
Fredericksburg & Spotsylvania NMP,"736,416","$47,939 ",597,"$26,280 ","$42,870 ","$69,200 ",2021
Friendship Hill NHS,"16,552","$1,077 ",16,$586 ,$918 ,"$1,618 ",2021
Gates of the Arctic NP&PRESc,"7,362","$11,995 ",169,"$6,571 ","$10,481 ","$17,951 ",2021
Gateway Arch NPa,"1,145,081","$126,069 ","2,048","$72,060 ","$115,892 ","$210,056 ",2021
Gateway NRAa,"9,060,807","$265,219 ","2,938","$116,979 ","$196,591 ","$321,804 ",2021
Gauley River NRA,"167,794","$8,211 ",106,"$3,119 ","$5,192 ","$9,557 ",2021
General Grant NMEM,"57,487","$3,742 ",41,"$2,234 ","$3,633 ","$5,501 ",2021
George Rogers Clark NHP,"116,088","$7,557 ",106,"$3,002 ","$5,261 ","$9,712 ",2021
George Washington Birthplace NMa,"102,782","$5,239 ",62,"$2,805 ","$4,559 ","$7,293 ",2021
George Washington Carver NMa,"25,838",$540 ,7,$207 ,$341 ,$653 ,2021
George Washington MEM PKWY,"6,821,179","$49,436 ",760,"$29,460 ","$46,183 ","$79,380 ",2021
Gettysburg NMP,"687,631","$49,362 ",596,"$27,350 ","$44,233 ","$70,985 ",2021
Gila Cliff Dwellings NM,"45,428","$2,957 ",38,$945 ,"$1,647 ","$3,146 ",2021
Glacier Bay NP&PRESa,"89,768","$39,104 ",521,"$22,521 ","$34,641 ","$66,370 ",2021
Glacier NPa,"3,081,656","$383,738 ","5,975","$193,050 ","$297,111 ","$572,155 ",2021
Glen Canyon NRAa,"3,144,318","$332,150 ","3,839","$139,418 ","$234,458 ","$409,546 ",2021
Golden Gate NRAa,"13,712,614","$862,635 ","8,175","$546,342 ","$832,831 ","$1,194,828 ",2021
Golden Spike NHSa,"52,910","$3,372 ",46,"$1,571 ","$2,687 ","$4,827 ",2021
Governors Island NMc,"191,257","$12,450 ",136,"$7,434 ","$12,076 ","$18,264 ",2021
Grand Canyon NPa,"4,532,677","$710,256 ","9,390","$324,318 ","$539,433 ","$944,693 ",2021
Grand Portage NM,"83,708","$6,007 ",78,"$1,896 ","$3,365 ","$6,407 ",2021
Grand Teton NPa,"3,885,230","$774,059 ","10,544","$357,591 ","$560,827 ","$1,021,772 ",2021
Grant-Kohrs Ranch NHS,"24,476","$1,593 ",25,$772 ,"$1,138 ","$2,233 ",2021
Great Basin NP,"144,875","$9,120 ",122,"$2,634 ","$4,825 ","$9,608 ",2021
Great Sand Dunes NP&PRES,"602,613","$41,277 ",536,"$16,956 ","$29,116 ","$52,415 ",2021
Great Smoky Mountains NP,"14,161,548","$1,292,745 ","18,807","$618,010 ","$1,036,519 ","$1,845,873 ",2021
Greenbelt P,"23,893","$1,699 ",20,$943 ,"$1,551 ","$2,466 ",2021
Guadalupe Mountains NP,"243,291","$16,832 ",234,"$6,597 ","$10,788 ","$20,694 ",2021
Guilford Courthouse NMP,"211,689","$13,781 ",202,"$6,841 ","$11,253 ","$20,188 ",2021
Gulf Islands NS,"5,458,816","$267,728 ","3,483","$115,867 ","$193,105 ","$347,283 ",2021
Hagerman Fossil Beds NM,"8,236",$536 ,8,$248 ,$411 ,$748 ,2021
Haleakala NP,"853,181","$61,017 ",598,"$27,256 ","$50,295 ","$76,667 ",2021
Hamilton Grange NMEM,"29,096","$1,894 ",21,"$1,127 ","$1,833 ","$2,770 ",2021
Hampton NHS,"8,942",$583 ,7,$333 ,$539 ,$870 ,2021
Harpers Ferry NHPa,"309,901","$16,761 ",228,"$10,237 ","$16,519 ","$26,554 ",2021
Harry S Truman NHS,"12,148",$791 ,12,$423 ,$696 ,"$1,250 ",2021
Hawaii Volcanoes NP,"1,262,747","$117,162 ","1,218","$54,541 ","$101,491 ","$153,928 ",2021
Herbert Hoover NHS,"69,843","$4,547 ",67,"$1,953 ","$3,240 ","$6,065 ",2021
Home of Franklin D Roosevelt NHS,"46,375","$3,018 ",36,"$1,669 ","$2,679 ","$4,273 ",2021
Homestead NMa,"54,113","$2,020 ",27,$735 ,"$1,236 ","$2,350 ",2021
Hopewell Culture NHP,"47,847","$3,115 ",46,"$1,673 ","$2,680 ","$4,746 ",2021
Hopewell Furnace NHS,"49,248","$3,206 ",45,"$1,944 ","$3,028 ","$5,083 ",2021
Horseshoe Bend NMP,"58,285","$3,794 ",58,"$1,693 ","$2,772 ","$5,260 ",2021
Hot Springs NP,"2,162,884","$154,494 ","2,199","$60,944 ","$110,594 ","$207,667 ",2021
Hovenweep NM,"26,710","$1,874 ",24,$704 ,"$1,241 ","$2,292 ",2021
Hubbell Trading Post NHSc,"21,256","$1,384 ",19,$489 ,$852 ,"$1,640 ",2021
Independence NHP,"1,495,686","$97,365 ","1,349","$59,784 ","$92,825 ","$154,508 ",2021
Indiana Dunes NL,"3,177,210","$156,287 ","1,877","$88,812 ","$141,460 ","$230,617 ",2021
Isle Royale NPc,"25,844","$5,903 ",101,"$1,937 ","$3,535 ","$7,126 ",2021
James A Garfield NHSa,"20,982",$838 ,13,$466 ,$725 ,"$1,298 ",2021
Jean Lafitte NP&PRES,"247,749","$16,128 ",225,"$7,304 ","$12,365 ","$22,114 ",2021
Jewel Cave NM,"108,209","$7,044 ",98,"$2,870 ","$4,975 ","$9,287 ",2021
Jimmy Carter NHS,"27,615","$1,797 ",28,$685 ,"$1,171 ","$2,302 ",2021
John D Rockefeller Jr MEM PKWY,"1,603,962","$11,217 ",138,"$4,922 ","$7,574 ","$13,151 ",2021
John Day Fossil Beds NMa,"148,276","$8,048 ",98,"$3,453 ","$5,502 ","$9,882 ",2021
John F Kennedy NHSc,0,$0 ,0,$0 ,$0 ,$0 ,2021
John Muir NHS,"36,904","$2,402 ",26,"$1,426 ","$2,193 ","$3,370 ",2021
Johnstown Flood NMEMa,"148,654","$10,236 ",155,"$5,675 ","$8,797 ","$15,702 ",2021
Joshua Tree NPab,"3,064,400","$169,725 ","2,037","$76,696 ","$124,069 ","$207,828 ",2021
Kalaupapa NHP,"25,252","$1,644 ",17,$766 ,"$1,375 ","$2,119 ",2021
Kaloko-Honokohau NHP,"262,653","$17,098 ",177,"$7,965 ","$14,304 ","$22,040 ",2021
Katahdin Woods and Waters NM,"39,485","$2,809 ",38,"$1,140 ","$1,973 ","$3,599 ",2021
Katmai NP&PRESc,"24,764","$40,348 ",569,"$22,102 ","$35,257 ","$60,382 ",2021
Kenai Fjords NP,"411,782","$79,270 ","1,379","$49,496 ","$67,062 ","$121,073 ",2021
Kennesaw Mountain NBP,"1,800,823","$117,229 ","1,721","$64,040 ","$106,998 ","$184,769 ",2021
Keweenaw NHPc,"12,457",$811 ,11,$251 ,$456 ,$904 ,2021
Kings Canyon NP,"562,918","$51,833 ",663,"$24,653 ","$39,189 ","$66,640 ",2021
Kings Mountain NMPa,"265,666","$11,868 ",164,"$5,971 ","$9,774 ","$17,099 ",2021
Klondike Gold Rush AK NHPac,"33,228","$5,502 ",84,"$3,513 ","$4,362 ","$7,168 ",2021
Klondike Gold Rush WA NHP,"35,977","$2,341 ",25,"$1,189 ","$2,080 ","$3,222 ",2021
Knife River Indian Villages NHS,"11,223",$731 ,10,$302 ,$502 ,$944 ,2021
Kobuk Valley NP,"11,540","$18,802 ",265,"$10,300 ","$16,430 ","$28,138 ",2021
Korean War Veterans MEM,"2,986,751","$62,735 ",790,"$36,335 ","$60,130 ","$96,199 ",2021
Lake Chelan NRA,"40,511","$2,968 ",29,"$1,474 ","$2,595 ","$3,927 ",2021
Lake Clark NP&PRESc,"18,278","$29,779 ",420,"$16,312 ","$26,021 ","$44,565 ",2021
Lake Mead NRA,"7,603,474","$373,668 ","4,054","$167,550 ","$281,033 ","$457,279 ",2021
Lake Meredith NRA,"1,307,769","$64,076 ",864,"$24,505 ","$38,703 ","$75,591 ",2021
Lake Roosevelt NRA,"1,336,629","$66,431 ",767,"$27,072 ","$48,488 ","$82,640 ",2021
Lassen Volcanic NPc,"359,635","$24,328 ",304,"$10,371 ","$16,574 ","$29,146 ",2021
Lava Beds NMa,"103,946","$5,050 ",58,"$2,035 ","$3,160 ","$5,643 ",2021
Lewis and Clark NHP,"274,230","$17,851 ",235,"$9,644 ","$15,741 ","$26,386 ",2021
Lincoln Boyhood NMEMa,"114,353","$6,021 ",93,"$3,053 ","$4,798 ","$8,752 ",2021
Lincoln Home NHSa,"89,964","$6,063 ",85,"$2,541 ","$4,437 ","$8,072 ",2021
Lincoln MEM,"5,792,331","$121,666 ","1,532","$70,466 ","$116,614 ","$186,564 ",2021
Little Bighorn Battlefield NMc,"211,296","$13,755 ",203,"$6,251 ","$9,417 ","$18,155 ",2021
Little River Canyon NPRES,"862,606","$56,153 ",833,"$25,048 ","$41,474 ","$76,804 ",2021
Little Rock Central High School NHS,"84,839","$5,523 ",82,"$2,293 ","$4,077 ","$7,673 ",2021
Longfellow NHS,"35,895","$2,337 ",29,"$1,413 ","$2,204 ","$3,562 ",2021
Lowell NHP,"49,721","$3,237 ",41,"$1,954 ","$3,050 ","$4,929 ",2021
Lyndon B Johnson NHP,"133,914","$8,717 ",129,"$4,653 ","$7,276 ","$13,175 ",2021
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,"232,875","$15,159 ",188,"$8,583 ","$14,024 ","$22,455 ",2021
Maggie L Walker NHS,"2,568",$167 ,2,$80 ,$134 ,$239 ,2021
Mammoth Cave NP,"515,774","$47,874 ",643,"$25,464 ","$40,940 ","$69,198 ",2021
Manassas NBP,"516,604","$33,630 ",412,"$18,923 ","$30,950 ","$49,415 ",2021
Manhattan Project (New Mexico) NHPc,"7,584",$494 ,6,$207 ,$342 ,$597 ,2021
Manhattan Project (Tennessee) NHP,"18,479",$392 ,5,$169 ,$263 ,$481 ,2021
Manhattan Project (Washington) NHPc,0,$0 ,0,$0 ,$0 ,$0 ,2021
Manzanar NHSa,"117,113","$13,739 ",164,"$6,182 ","$9,945 ","$17,091 ",2021
Marsh - Billings - Rockefeller NHP,"47,997","$3,125 ",40,"$1,467 ","$2,493 ","$4,200 ",2021
Martin Luther King Jr NHS,"28,034","$1,824 ",27,"$1,000 ","$1,671 ","$2,881 ",2021
"Martin Luther King, Jr. MEM","2,032,470","$42,691 ",538,"$24,726 ","$40,919 ","$65,463 ",2021
Martin Van Buren NHS,"9,823",$639 ,8,$328 ,$543 ,$881 ,2021
Mary McLeod Bethune Council House NHSc,0,$0 ,0,$0 ,$0 ,$0 ,2021
Medgar and Myrlie Evers Home NM,"1,034",$68 ,1,$30 ,$51 ,$96 ,2021
Mesa Verde NPa,"548,477","$62,609 ",825,"$24,452 ","$43,215 ","$79,532 ",2021
Minidoka (Idaho) NHS,"6,194",$120 ,2,$40 ,$63 ,$130 ,2021
Minidoka (Washington) NHS,"8,846",$576 ,7,$217 ,$402 ,$668 ,2021
Minute Man NHP,"983,201","$64,004 ",810,"$38,667 ","$60,369 ","$97,696 ",2021
Minuteman Missile NHSa,"140,280","$11,673 ",158,"$4,725 ","$8,213 ","$15,148 ",2021
Mississippi NRRA,"228,460","$11,250 ",150,"$5,753 ","$9,348 ","$16,386 ",2021
Missouri NRR,"140,814","$6,934 ",90,"$2,809 ","$4,586 ","$8,448 ",2021
Mojave NPRES,"866,635","$56,354 ",664,"$27,415 ","$45,435 ","$73,797 ",2021
Monocacy NBa,"137,300","$5,179 ",66,"$2,228 ","$3,851 ","$6,563 ",2021
Montezuma Castle NM,"418,147","$27,220 ",373,"$14,596 ","$24,280 ","$41,585 ",2021
Moores Creek NB,"60,727","$4,359 ",59,"$1,659 ","$2,952 ","$5,410 ",2021
Morristown NHP,"332,036","$21,614 ",244,"$13,055 ","$21,049 ","$32,236 ",2021
Mount Rainier NPa,"1,670,063","$66,989 ",688,"$31,951 ","$55,935 ","$86,927 ",2021
Mount Rushmore NMEM,"2,525,868","$164,428 ","2,321","$68,419 ","$118,436 ","$221,584 ",2021
Muir Woods NMa,"657,722","$79,784 ",742,"$50,953 ","$78,628 ","$112,097 ",2021
Natchez NHP,"56,264","$3,662 ",51,"$1,499 ","$2,551 ","$4,701 ",2021
Natchez Trace PKWY,"6,401,346","$178,181 ","2,102","$68,900 ","$108,198 ","$197,720 ",2021
National Capital Parks Central,"659,317","$13,849 ",175,"$8,028 ","$13,280 ","$21,278 ",2021
National Capital Parks East,"1,215,836","$25,538 ",332,"$14,808 ","$24,552 ","$39,697 ",2021
National Park of American Samoa,"8,495",$553 ,6,$258 ,$463 ,$713 ,2021
Natural Bridges NM,"73,484","$5,125 ",60,"$1,996 ","$3,365 ","$5,910 ",2021
Navajo NMc,"14,834","$1,030 ",12,$400 ,$672 ,"$1,181 ",2021
New Bedford Whaling NHPa,"10,487",$617 ,8,$397 ,$612 ,$989 ,2021
New Orleans Jazz NHPc,"25,750","$1,676 ",23,$791 ,"$1,331 ","$2,355 ",2021
New River Gorge NR,"1,682,720","$82,629 ","1,094","$32,280 ","$53,876 ","$100,063 ",2021
Nez Perce NHP,"309,165","$20,126 ",256,"$8,557 ","$15,185 ","$26,262 ",2021
Nicodemus NHSa,"4,629",$287 ,3,$83 ,$153 ,$282 ,2021
Ninety Six NHS,"92,976","$6,052 ",86,"$2,610 ","$4,530 ","$8,183 ",2021
Niobrara NSRa,"90,670","$9,911 ",148,"$3,238 ","$5,446 ","$11,637 ",2021
Noatak NPRES,"12,891","$21,004 ",296,"$11,505 ","$18,353 ","$31,433 ",2021
North Cascades NPc,"17,855",$953 ,9,$441 ,$751 ,"$1,134 ",2021
Obed W&SRa,"247,826","$5,172 ",55,"$1,856 ","$2,940 ","$5,384 ",2021
Ocmulgee NM,"128,820","$8,386 ",127,"$3,143 ","$5,455 ","$10,605 ",2021
Olympic NP,"2,718,925","$250,067 ","2,711","$128,686 ","$228,921 ","$351,839 ",2021
Oregon Caves NMb,"34,202","$3,127 ",43,"$1,526 ","$2,366 ","$4,213 ",2021
Organ Pipe Cactus NM,"190,848","$12,924 ",171,"$6,704 ","$11,283 ","$19,313 ",2021
Ozark NSR,"1,328,773","$64,433 ",886,"$22,092 ","$36,659 ","$73,856 ",2021
Padre Island NS,"615,826","$29,911 ",410,"$11,906 ","$18,645 ","$36,177 ",2021
Palo Alto Battlefield NHP,"128,852","$8,388 ",128,"$3,645 ","$5,678 ","$11,099 ",2021
