Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic Output,Year
Congaree NP*,"109,685","$5,144.00 ",66,"$1,875.70 ","$3,235.60 ","$5,556.70 ",2012
Coronado NMEM,"97,579","$5,250.80 ",72,"$2,093.20 ","$3,529.40 ","$5,910.40 ",2012
Cowpens NB,"231,973","$13,750.40 ",201,"$6,323.60 ","$10,595.80 ","$17,889.20 ",2012
Crater Lake NP,"447,251","$36,097.00 ",551,"$15,597.40 ","$25,714.40 ","$45,060.00 ",2012
Craters Of The Moon NM&PRES*,"197,529","$6,334.60 ",91,"$2,021.00 ","$3,512.60 ","$6,615.10 ",2012
Cumberland Gap NHP,"853,998","$50,370.30 ",702,"$19,481.00 ","$34,973.50 ","$59,905.50 ",2012
Cumberland Island NS,"61,493","$2,390.00 ",32,"$1,009.30 ","$1,688.00 ","$2,761.80 ",2012
Curecanti NRA,"862,612","$34,458.30 ",414,"$13,338.20 ","$21,560.80 ","$35,130.60 ",2012
Cuyahoga Valley NP,"2,299,722","$136,751.80 ","2,054","$59,054.40 ","$101,681.80 ","$175,232.80 ",2012
Dayton Aviation Heritage NHP*,"65,999","$3,581.80 ",60,"$1,827.30 ","$3,055.20 ","$5,210.20 ",2012
De Soto NMEM,"432,981","$23,299.20 ",332,"$11,342.40 ","$19,330.30 ","$31,123.90 ",2012
Death Valley NP,"984,568","$77,966.60 ",929,"$35,665.60 ","$59,370.80 ","$91,346.00 ",2012
Delaware Water Gap NRA*,"4,970,802","$156,372.20 ","2,319","$98,007.60 ","$149,653.10 ","$216,180.10 ",2012
Denali NP&PRES,"388,433","$371,501.10 ","5,098","$185,911.30 ","$313,678.50 ","$520,780.60 ",2012
Devils Postpile NM,"87,845","$5,127.90 ",65,"$1,910.70 ","$3,442.80 ","$5,754.40 ",2012
Devils Tower NM,"416,994","$24,517.80 ",352,"$8,581.00 ","$15,349.70 ","$27,700.00 ",2012
Dinosaur NM,"302,858","$16,936.90 ",201,"$6,142.50 ","$10,240.80 ","$17,109.20 ",2012
Dry Tortugas NP,"60,550","$3,210.60 ",33,"$1,241.30 ","$2,067.60 ","$3,221.10 ",2012
Edgar Allan Poe NHS,"19,104","$1,028.00 ",14,$554.60 ,$879.40 ,"$1,405.50 ",2012
Effigy Mounds NM*,"78,540","$4,603.60 ",68,"$1,655.20 ","$2,866.00 ","$5,131.20 ",2012
Eisenhower NHS,"53,286","$2,867.40 ",38,"$1,457.60 ","$2,344.00 ","$3,644.30 ",2012
El Malpais NM,"114,678","$6,797.40 ",98,"$2,727.90 ","$4,641.40 ","$8,132.20 ",2012
El Morro NM,"44,808","$2,609.30 ",36,$647.10 ,"$1,295.70 ","$2,465.30 ",2012
Eleanor Roosevelt NHS,"55,049","$2,962.30 ",36,"$1,409.00 ","$2,404.60 ","$3,606.70 ",2012
Eugene O'Neill NHS,"2,789",$150.10 ,2,$80.00 ,$125.00 ,$194.90 ,2012
Everglades NP,"1,141,906","$102,764.60 ","1,402","$56,736.80 ","$94,038.60 ","$147,065.10 ",2012
Federal Hall NMEM,"167,146","$8,994.30 ",103,"$4,897.30 ","$7,900.40 ","$11,537.40 ",2012
Fire Island NS,"483,334","$19,258.50 ",206,"$9,805.50 ","$15,702.40 ","$22,852.30 ",2012
First Ladies NHS,"9,903",$532.90 ,8,$251.20 ,$416.00 ,$705.10 ,2012
Flight 93 NMEM,"317,926","$17,108.00 ",258,"$7,631.30 ","$12,646.00 ","$21,557.00 ",2012
Florissant Fossil Beds NM,"62,637","$3,370.60 ",47,"$1,781.20 ","$2,809.00 ","$4,493.50 ",2012
Ford's Theatre NHS,"701,542","$12,209.00 ",161,"$6,424.60 ","$10,535.90 ","$16,244.20 ",2012
Fort Bowie NHS,"7,966",$428.70 ,6,$168.60 ,$284.00 ,$476.40 ,2012
Fort Caroline NMEM,"327,339","$17,614.50 ",252,"$8,032.70 ","$13,818.70 ","$22,559.20 ",2012
Fort Davis NHS,"38,136","$2,052.10 ",27,$562.00 ,"$1,149.70 ","$2,013.00 ",2012
Fort Donelson NB,"284,762","$16,878.10 ",226,"$7,587.50 ","$12,572.90 ","$20,522.80 ",2012
Fort Frederica NM,"262,235","$14,111.20 ",196,"$6,238.10 ","$10,501.00 ","$17,209.50 ",2012
Fort Laramie NHS,"55,199","$2,970.30 ",40,"$1,001.10 ","$1,803.60 ","$3,173.00 ",2012
Fort Larned NHS*,"33,194","$1,852.80 ",24,$538.60 ,"$1,032.40 ","$1,916.00 ",2012
Fort Matanzas NM,"497,574","$26,775.10 ",378,"$11,612.10 ","$20,389.20 ","$33,214.10 ",2012
Fort McHenry NM&SHRINE,"744,076","$40,039.60 ",526,"$20,475.90 ","$33,345.80 ","$51,649.70 ",2012
Fort Necessity NB,"187,893","$11,126.40 ",162,"$5,047.20 ","$8,402.50 ","$14,244.60 ",2012
Fort Point NHS,"1,502,786","$80,866.70 ",999,"$43,119.00 ","$67,373.60 ","$105,104.10 ",2012
Fort Pulaski NM,"385,751","$22,865.50 ",307,"$9,303.50 ","$15,748.90 ","$26,189.70 ",2012
Fort Raleigh NHS,"281,833","$15,165.80 ",221,"$5,976.00 ","$10,288.90 ","$17,524.80 ",2012
Fort Scott NHS*,"25,034",$414.50 ,5,$107.50 ,$189.60 ,$349.50 ,2012
Fort Smith NHS,"87,386","$4,702.30 ",70,"$1,671.20 ","$2,962.90 ","$5,357.20 ",2012
Fort Stanwix NM*,"195,057","$9,841.40 ",117,"$3,189.10 ","$7,058.30 ","$11,200.70 ",2012
Fort Sumter NM,"842,027","$45,310.30 ",650,"$19,283.40 ","$31,980.20 ","$53,245.90 ",2012
Fort Union NM*,"9,215",$572.70 ,7,$213.90 ,$342.90 ,$583.90 ,2012
Fort Union Trading Post NHS*,"12,677",$937.10 ,10,$279.40 ,$451.60 ,$772.40 ,2012
Fort Vancouver NHS,"681,404","$36,667.20 ",559,"$17,831.30 ","$28,965.70 ","$49,366.50 ",2012
Fort Washington P,"368,824","$19,846.90 ",254,"$10,183.80 ","$16,417.80 ","$25,151.50 ",2012
Fossil Butte NM*,"17,084",$786.90 ,9,$258.60 ,$436.40 ,$740.50 ,2012
Franklin Delano Roosevelt MEM,"2,764,459","$48,110.30 ",636,"$25,316.50 ","$41,517.40 ","$64,011.20 ",2012
Frederick Douglass NHS,"53,314",$927.80 ,12,$489.00 ,$801.00 ,"$1,233.10 ",2012
Frederick Law Olmsted NHS,"8,668",$466.40 ,6,$243.40 ,$395.50 ,$617.90 ,2012
Fredericksburg & Spotsylvania NMP,"982,324","$52,860.00 ",673,"$26,489.80 ","$42,462.00 ","$65,469.70 ",2012
Friendship Hill NHS,"34,289","$1,845.10 ",28,$844.10 ,"$1,390.30 ","$2,348.70 ",2012
Gates Of The Arctic NP&PRES,"10,899","$15,742.50 ",219,"$7,864.40 ","$13,205.90 ","$21,921.00 ",2012
Gateway NRA,"5,043,863","$116,410.10 ","1,261","$54,718.50 ","$85,632.90 ","$126,142.70 ",2012
Gauley River NRA,"115,283","$4,613.80 ",61,"$1,658.50 ","$2,725.60 ","$4,691.50 ",2012
General Grant NMEM,"92,418","$4,973.10 ",57,"$2,700.20 ","$4,372.20 ","$6,393.70 ",2012
George Rogers Clark NHP,"125,972","$6,778.70 ",99,"$2,321.80 ","$4,282.70 ","$7,619.80 ",2012
George Washington MEM PKWY,"7,425,577","$44,720.70 ",747,"$24,587.00 ","$37,324.50 ","$58,080.30 ",2012
George Washington Birthplace NM*,"134,824","$5,663.90 ",70,"$2,792.40 ","$4,444.60 ","$6,832.90 ",2012
George Washington Carver NM*,"30,425",$518.50 ,7,$175.30 ,$294.20 ,$519.50 ,2012
Gettysburg NMP,"1,126,577","$66,317.60 ",838,"$32,999.20 ","$53,764.70 ","$83,831.30 ",2012
Gila Cliff Dwellings NM,"28,637","$1,541.00 ",22,$399.90 ,$775.80 ,"$1,457.40 ",2012
Glacier NP,"2,162,035","$172,420.90 ","2,754","$74,203.60 ","$120,092.10 ","$218,224.40 ",2012
Glacier Bay NP&PRES,"454,337","$92,676.30 ","1,661","$49,742.60 ","$77,034.60 ","$121,675.50 ",2012
Glen Canyon NRA,"2,061,328","$114,888.10 ","1,436","$39,140.30 ","$68,381.60 ","$117,506.60 ",2012
Golden Gate NRA,"14,540,338","$337,853.10 ","3,722","$152,599.90 ","$236,608.00 ","$364,463.00 ",2012
Golden Spike NHS*,"42,551","$2,246.00 ",32,$976.70 ,"$1,613.90 ","$2,813.10 ",2012
Governors Island NM,"348,249","$18,739.70 ",216,"$10,203.50 ","$16,460.40 ","$24,038.20 ",2012
Grand Canyon NP*,"4,421,352","$453,641.30 ","6,010","$225,593.20 ","$381,343.50 ","$574,714.90 ",2012
Grand Portage NM,"93,156","$5,518.00 ",72,"$1,410.80 ","$2,906.10 ","$5,227.00 ",2012
Grand Teton NP*,"2,705,256","$454,093.60 ","6,339","$187,916.80 ","$307,522.10 ","$539,345.10 ",2012
Grant-Kohrs Ranch NHS,"17,095",$919.90 ,15,$405.10 ,$630.80 ,"$1,139.80 ",2012
Great Basin NP,"94,850","$4,912.60 ",60,"$1,394.60 ","$2,588.90 ","$4,562.50 ",2012
Great Sand Dunes NP&PRES,"254,674","$14,323.00 ",188,"$5,300.50 ","$9,288.20 ","$15,808.50 ",2012
Great Smoky Mountains NP,"9,685,829","$741,499.10 ","10,959","$322,195.70 ","$561,629.60 ","$951,891.40 ",2012
Greenbelt P,"145,552","$8,353.60 ",103,"$4,170.70 ","$6,809.40 ","$10,473.50 ",2012
Guadalupe Mountains NP,"159,360","$9,111.50 ",121,"$3,148.70 ","$5,858.00 ","$10,084.40 ",2012
Guilford Courthouse NMP,"313,374","$18,575.40 ",272,"$8,252.80 ","$13,810.30 ","$23,489.10 ",2012
Gulf Islands NS,"4,973,462","$199,385.00 ","2,671","$81,202.10 ","$136,305.60 ","$226,010.50 ",2012
Hagerman Fossil Beds NM,"23,936","$1,288.00 ",19,$562.80 ,$896.20 ,"$1,543.20 ",2012
Haleakala NP,"1,094,668","$64,461.30 ",736,"$29,322.90 ","$49,742.10 ","$76,554.90 ",2012
Hamilton Grange NMEM,"16,358",$880.20 ,10,$477.40 ,$773.00 ,"$1,128.50 ",2012
Hampton NHS,"37,529","$2,019.50 ",27,"$1,040.50 ","$1,688.20 ","$2,619.50 ",2012
Harpers Ferry NHP*,"263,105","$11,929.20 ",168,"$6,537.10 ","$10,468.60 ","$16,171.30 ",2012
Harry S Truman NHS,"31,316","$1,685.20 ",27,$849.60 ,"$1,376.20 ","$2,337.10 ",2012
Hawaii Volcanoes NP,"1,483,928","$113,376.40 ","1,353","$53,242.90 ","$91,775.80 ","$140,542.10 ",2012
Herbert Hoover NHS,"128,812","$6,931.50 ",104,"$2,661.50 ","$4,708.30 ","$8,301.70 ",2012
Home Of Franklin D Roosevelt NHS,"135,746","$7,304.70 ",88,"$3,540.00 ","$5,980.10 ","$8,956.30 ",2012
Homestead NM*,"103,708","$3,158.20 ",42,$985.60 ,"$1,738.10 ","$3,190.20 ",2012
Hopewell Culture NHP,"39,462","$2,123.50 ",32,$981.20 ,"$1,637.30 ","$2,782.50 ",2012
Hopewell Furnace NHS,"52,870","$2,845.00 ",41,"$1,478.50 ","$2,385.90 ","$3,888.20 ",2012
Horseshoe Bend NMP,"58,668","$3,157.00 ",47,"$1,362.60 ","$2,238.80 ","$3,889.00 ",2012
Hot Springs NP,"1,302,505","$77,011.20 ","1,106","$31,306.00 ","$54,049.20 ","$94,543.30 ",2012
Hovenweep NM,"26,710","$1,554.50 ",20,$538.70 ,$940.50 ,"$1,631.90 ",2012
Hubbell Trading Post NHS,"75,061","$4,039.10 ",55,"$1,277.90 ","$2,269.90 ","$4,097.00 ",2012
Independence NHP,"3,594,549","$193,427.00 ","2,720","$104,349.40 ","$165,458.20 ","$264,450.70 ",2012
Indiana Dunes NL,"1,889,381","$75,915.50 ",947,"$37,017.90 ","$62,529.50 ","$97,244.20 ",2012
Isle Royale NP,"16,663","$3,477.10 ",50,"$1,155.80 ","$2,185.90 ","$3,777.40 ",2012
James A Garfield NHS*,"36,375","$1,195.80 ",20,$545.50 ,$922.50 ,"$1,598.40 ",2012
Jean Lafitte NP&PRES,"419,694","$22,584.20 ",317,"$9,848.90 ","$16,564.70 ","$27,551.20 ",2012
Jefferson NEM*,"2,496,726","$228,290.70 ","3,883","$121,147.20 ","$200,565.40 ","$337,531.70 ",2012
Jewel Cave NM,"109,300","$5,881.60 ",89,"$2,075.20 ","$3,713.20 ","$6,719.40 ",2012
Jimmy Carter NHS,"69,940","$3,763.60 ",56,"$1,278.90 ","$2,359.40 ","$4,234.90 ",2012
John D Rockefeller Jr MEM PKWY,"1,197,750","$37,898.50 ",586,"$18,704.00 ","$30,950.20 ","$58,143.30 ",2012
John Day Fossil Beds NM*,"148,152","$6,493.60 ",88,"$2,329.90 ","$3,875.80 ","$7,094.20 ",2012
John F Kennedy NHS,"22,642","$1,218.40 ",17,$635.30 ,"$1,032.90 ","$1,614.00 ",2012
John Muir NHS,"37,403","$2,012.70 ",25,"$1,072.50 ","$1,677.10 ","$2,618.00 ",2012
Johnstown Flood NMEM*,"123,081","$6,977.70 ",116,"$3,318.50 ","$5,476.50 ","$9,383.40 ",2012
Joshua Tree NP*,"1,396,117","$62,175.80 ",770,"$29,200.40 ","$48,440.60 ","$76,465.10 ",2012
Kalaupapa NHP,"58,875","$3,168.10 ",38,"$1,478.80 ","$2,461.00 ","$3,802.30 ",2012
Kaloko-Honokohau NHP,"153,584","$8,264.50 ",99,"$3,857.70 ","$6,419.90 ","$9,918.90 ",2012
Katmai NP&PRES,"39,818","$57,513.10 ",801,"$28,731.70 ","$48,246.10 ","$80,085.30 ",2012
Kenai Fjords NP,"281,279","$52,487.90 ",965,"$28,359.60 ","$43,509.50 ","$68,349.90 ",2012
Kennesaw Mountain NBP,"1,935,909","$104,173.60 ","1,556","$54,963.00 ","$89,439.00 ","$145,587.80 ",2012
Kings Canyon NP,"591,033","$45,904.30 ",605,"$18,239.20 ","$32,447.30 ","$53,903.40 ",2012
Kings Mountain NMP*,"265,713","$9,800.70 ",139,"$4,373.80 ","$7,293.80 ","$12,329.60 ",2012
Klondike Gold Rush NHP Alaska,"854,250","$160,289.50 ","2,942","$86,568.50 ","$132,894.40 ","$208,840.20 ",2012
Klondike Gold Rush NHP Washington,"60,198","$3,239.30 ",40,"$1,444.50 ","$2,607.90 ","$4,051.00 ",2012
Knife River Indian Villages NHS,"16,010",$861.50 ,12,$317.50 ,$564.30 ,$988.40 ,2012
Kobuk Valley NP,"29,550","$42,682.00 ",595,"$21,322.50 ","$35,804.70 ","$59,433.50 ",2012
Korean War Veterans MEM,"3,267,124","$56,858.20 ",751,"$29,919.80 ","$49,066.50 ","$75,650.50 ",2012
Lake Chelan NRA,"40,830","$1,886.40 ",21,$817.20 ,"$1,442.40 ","$2,215.30 ",2012
Lake Clark NP&PRES,"11,639","$16,811.40 ",234,"$8,398.40 ","$14,102.60 ","$23,409.30 ",2012
Lake Mead NRA,"6,285,439","$252,209.90 ","2,840","$104,434.50 ","$168,932.00 ","$260,093.30 ",2012
Lake Meredith NRA,"502,457","$20,120.20 ",275,"$6,300.50 ","$12,112.60 ","$21,258.40 ",2012
Lake Roosevelt NRA,"1,781,972","$71,589.90 ",899,"$24,701.40 ","$47,708.40 ","$78,176.80 ",2012
Lassen Volcanic NP,"407,653","$22,918.10 ",297,"$7,454.30 ","$14,242.30 ","$24,684.10 ",2012
Lava Beds NM*,"181,429","$7,152.00 ",86,"$2,315.70 ","$3,995.10 ","$6,924.50 ",2012
Lewis and Clark NHP,"201,704","$10,853.90 ",153,"$4,859.30 ","$8,118.90 ","$13,534.60 ",2012
Lincoln MEM,"6,191,361","$107,749.10 ","1,424","$56,699.50 ","$92,983.50 ","$143,361.30 ",2012
Lincoln Boyhood NMEM*,"133,550","$5,840.20 ",93,"$2,637.00 ","$4,455.80 ","$7,564.80 ",2012
Lincoln Home NHS*,"295,464","$16,467.30 ",214,"$5,398.60 ","$11,357.60 ","$18,776.60 ",2012
Little Bighorn Battlefield NM,"346,327","$18,636.30 ",288,"$7,525.40 ","$12,169.70 ","$21,986.20 ",2012
Little River Canyon NPRES,"201,109","$10,821.90 ",160,"$4,233.30 ","$7,392.00 ","$12,776.20 ",2012
Little Rock Central High School NHS,"63,938","$3,440.60 ",52,"$1,447.70 ","$2,470.10 ","$4,318.10 ",2012
Longfellow NHS,"52,234","$2,810.80 ",38,"$1,471.40 ","$2,384.60 ","$3,726.90 ",2012
Lowell NHP,"537,551","$28,926.30 ",397,"$15,116.80 ","$24,472.30 ","$38,408.50 ",2012
Lyndon B Johnson NHP,"110,791","$5,961.80 ",84,"$2,685.80 ","$4,677.30 ","$7,613.10 ",2012
Lyndon Baines Johnson Memorial Grove on the Potomac NMEM,"371,063","$19,967.30 ",259,"$10,226.40 ","$16,521.70 ","$25,438.80 ",2012
Maggie L Walker NHS,"8,276",$445.30 ,6,$183.70 ,$317.60 ,$533.20 ,2012
Mammoth Cave NP,"508,054","$40,429.60 ",574,"$19,154.10 ","$31,708.20 ","$51,977.10 ",2012
Manassas NBP,"600,354","$32,305.80 ",416,"$16,546.90 ","$26,687.20 ","$41,012.00 ",2012
Manzanar NHS*,"72,831","$6,992.90 ",86,"$2,533.40 ","$4,545.00 ","$7,628.40 ",2012
Marsh - Billings - Rockefeller NHP,"32,403","$1,743.60 ",24,$719.80 ,"$1,261.30 ","$2,057.30 ",2012
Martin Luther King Jr NHS,"707,514","$38,072.20 ",569,"$20,278.60 ","$32,931.60 ","$53,501.10 ",2012
"Martin Luther King, Jr. MEM","3,738,336","$65,058.80 ",860,"$34,235.10 ","$56,143.30 ","$86,561.40 ",2012
Martin Van Buren NHS,"22,062","$1,187.20 ",15,$511.30 ,$929.40 ,"$1,426.30 ",2012
Mary McLeod Bethune Council House NHS,"6,646",$115.70 ,2,$60.90 ,$99.80 ,$153.90 ,2012
Mesa Verde NP*,"488,860","$46,696.10 ",645,"$17,011.20 ","$29,839.60 ","$51,561.00 ",2012
Minute Man NHP,"1,001,207","$53,876.20 ",735,"$28,210.10 ","$45,739.90 ","$71,633.40 ",2012
Minuteman Missile NHS*,"75,654","$5,173.30 ",77,"$1,773.30 ","$3,281.80 ","$6,058.00 ",2012
Mississippi NRRA,"106,733","$4,239.60 ",60,"$1,893.40 ","$3,266.60 ","$5,445.80 ",2012
Missouri NRR,"167,776","$6,664.30 ",98,"$2,276.30 ","$3,999.20 ","$7,360.80 ",2012
Mojave NPRES,"542,527","$29,176.00 ",354,"$13,178.30 ","$21,573.70 ","$33,325.40 ",2012
Monocacy NB*,"47,249","$3,622.30 ",46,"$1,866.10 ","$3,062.60 ","$4,750.60 ",2012
Montezuma Castle NM,"455,305","$24,500.50 ",347,"$12,464.10 ","$20,151.80 ","$32,108.90 ",2012
Moores Creek NB,"79,345","$4,683.40 ",65,"$1,645.30 ","$3,000.10 ","$5,178.70 ",2012
Morristown NHP,"294,606","$15,853.10 ",188,"$8,721.30 ","$14,000.00 ","$20,696.60 ",2012
Mount Rainier NP*,"1,049,178","$36,843.80 ",432,"$15,817.30 ","$28,461.70 ","$43,999.70 ",2012
Mount Rushmore NMEM,"2,185,447","$117,601.50 ","1,815","$42,523.70 ","$75,945.00 ","$137,371.40 ",2012
